model,rep,n_train_samples,n_test_samples,dims,onehot,shuffle_label_frac,n_estimators,max_features,bootstrap,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_entropy,n_total_leaves
shallow_forest,0,1000,8192,100,True,None,1,sqrt,False,2,-2,0.264,0.174,0.2975,0.19,4.0,1000.0,508.7120993253453,4,508.7120993253453,1.3688307870577374,4
shallow_forest,0,1000,8192,100,True,None,1,sqrt,False,5,-2,0.134,0.102,0.2577,0.1884,30.0,1000.0,308.4866285594888,30,308.4866285594888,2.737907276791072,30
shallow_forest,0,1000,8192,100,True,None,1,sqrt,False,15,-2,0.001,0.001,0.2019,0.2014,101.0,1000.0,294.4825971088954,101,294.4825971088954,3.25737990743443,101
shallow_forest,0,1000,8192,100,True,None,1,sqrt,False,40,-2,0.0,0.0,0.1979,0.1979,101.0,1000.0,269.6442100249883,101,269.6442100249883,3.415436971384209,101
shallow_forest,0,1000,8192,100,True,None,1,sqrt,False,None,-2,0.0,0.0,0.2468,0.2468,121.0,1000.0,240.7612925700475,121,240.7612925700475,3.6741270410563636,121
shallow_forest,0,1000,8192,100,True,None,2,sqrt,False,2,-2,0.217,0.174,0.2502,0.1834,8.0,1000.0,423.04905152948874,16,283.8520741513086,1.8360078809691158,8
shallow_forest,0,1000,8192,100,True,None,2,sqrt,False,5,-2,0.09,0.077,0.1758,0.1278,56.0,1000.0000000000001,237.19190542680835,250,136.586968631711,3.3176338390870175,56
shallow_forest,0,1000,8192,100,True,None,2,sqrt,False,15,-2,0.0,0.0,0.2502,0.1617,230.0,999.9999999999999,166.0933472478654,447,90.18869108707588,4.261806585857251,230
shallow_forest,0,1000,8192,100,True,None,2,sqrt,False,40,-2,0.0,0.0,0.2296,0.1423,211.0,1000.0000000000001,185.14993923844537,434,91.32360045464699,4.102584995128002,211
shallow_forest,0,1000,8192,100,True,None,2,sqrt,False,None,-2,0.0,0.0,0.2467,0.1622,243.0,1000.0,166.7932852365467,486,88.11356308764276,4.377541639754142,243
shallow_forest,0,1000,8192,100,True,None,3,sqrt,False,2,-2,0.198,0.167,0.2278,0.1788,12.0,1000.0,408.6169083356412,48,221.24194900605988,2.0085950123778327,12
shallow_forest,0,1000,8192,100,True,None,3,sqrt,False,5,-2,0.07,0.066,0.1348,0.1127,94.0,1000.0,192.16890718555098,691,55.06359959174482,3.7926811823684403,94
shallow_forest,0,1000,8192,100,True,None,3,sqrt,False,15,-2,0.0,0.0,0.166,0.1301,347.0,1000.0,166.34702682444714,775,48.55924216871593,4.519420151472914,347
shallow_forest,0,1000,8192,100,True,None,3,sqrt,False,40,-2,0.0,0.0,0.1407,0.113,326.0,999.9999999999999,206.33360258463853,633,89.25245094673872,4.252786813050184,326
shallow_forest,0,1000,8192,100,True,None,3,sqrt,False,None,-2,0.0,0.0,0.1389,0.1106,325.0,1000.0,195.1933514350436,680,65.31462317123173,4.3026976505032755,325
