model,rep,n_train_samples,n_test_samples,recurse_level,cov_scale,onehot,noise_dims,shuffle_label_frac,n_estimators,max_features,bootstrap,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_entropy,n_total_leaves
deep_forest,0,1000,8192,0,1,True,0,None,3,1,False,1,-2,0.487,0.248,0.5011,0.251,6.0,1000.0,976.9641185268213,3,962.5248048751782,0.12277348772965674,6
deep_forest,0,1000,8192,0,1,True,0,None,3,1,False,2,-2,0.487,0.246,0.5011,0.2502,12.0,1000.0000000000001,962.3994319754488,5,962.3066039469957,0.1961641888733085,12
deep_forest,0,1000,8192,0,1,True,0,None,3,1,False,3,-2,0.481,0.242,0.4843,0.2469,23.0,1000.0000000000001,950.2535334203066,14,950.1747207750793,0.29547552980111763,23
deep_forest,0,1000,8192,0,1,True,0,None,3,1,False,4,-2,0.458,0.237,0.4868,0.2481,33.0,1000.0000000000002,923.8869579721921,21,905.6014575960002,0.4534313029521516,33
deep_forest,0,1000,8192,0,1,True,0,None,3,1,False,5,-2,0.456,0.237,0.484,0.2469,43.0,1000.0,911.7293701776006,23,911.6995119007139,0.49926896718000835,43
deep_forest,0,1000,8192,0,1,True,0,None,3,1,False,6,-2,0.45,0.231,0.4875,0.2528,68.0,1000.0000000000003,885.764327823403,37,862.155438421634,0.6806518948920834,68
deep_forest,0,1000,8192,0,1,True,0,None,3,1,False,7,-2,0.424,0.221,0.4679,0.2475,91.0,999.9999999999998,823.1045566093719,56,753.1055702887876,0.9793682171521634,91
deep_forest,0,1000,8192,0,1,True,0,None,3,1,False,8,-2,0.445,0.226,0.4863,0.2544,90.0,1000.0000000000002,877.6463474037314,45,859.1635467127315,0.7513575499019675,90
deep_forest,0,1000,8192,0,1,True,0,None,3,1,False,9,-2,0.189,0.171,0.3232,0.2191,118.0,1000.0,444.61943777172473,121,208.48980790436735,2.5764050160285943,118
deep_forest,0,1000,8192,0,1,True,0,None,3,1,False,10,-2,0.249,0.179,0.3364,0.2229,127.0,1000.0000000000001,480.5876032987581,83,406.7185759219758,2.2387779777126138,127
deep_forest,0,1000,8192,0,1,True,0,None,3,1,False,11,-2,0.154,0.132,0.309,0.202,176.0,1000.0000000000002,306.22323012251474,216,159.21683328090657,3.2960884939510535,176
deep_forest,0,1000,8192,0,1,True,0,None,3,1,False,12,-2,0.176,0.138,0.2981,0.208,159.0,999.9999999999998,338.64698105516567,112,249.08231571109178,2.9017976139952513,159
deep_forest,0,1000,8192,0,1,True,0,None,3,1,False,13,-2,0.154,0.129,0.3046,0.2011,194.0,1000.0,293.21247510219536,218,148.54628908188855,3.3555349183832623,194
deep_forest,0,1000,8192,0,1,True,0,None,3,1,False,14,-2,0.135,0.1,0.3114,0.2129,264.0,1000.0000000000001,191.4285477375015,297,117.881296226331,4.007274136805705,264
deep_forest,0,1000,8192,0,1,True,0,None,3,1,False,15,-2,0.122,0.09,0.312,0.218,340.0,1000.0,159.64683244935085,335,90.67524469225324,4.4244629044601975,340
deep_forest,0,1000,8192,0,1,True,0,None,3,1,False,16,-2,0.092,0.071,0.3153,0.2273,403.0,1000.0000000000002,137.56533801151446,382,85.14693182963201,4.66322698500254,403
deep_forest,0,1000,8192,0,1,True,0,None,3,1,False,17,-2,0.094,0.067,0.3229,0.2347,411.0,1000.0,122.74906652733992,369,82.93370846646133,4.7574071877592266,411
deep_forest,0,1000,8192,0,1,True,0,None,3,1,False,18,-2,0.009,0.017,0.3282,0.259,678.0,1000.0000000000003,100.11992808627063,542,69.51258878793107,5.296459214919733,678
deep_forest,0,1000,8192,0,1,True,0,None,3,1,False,19,-2,0.027,0.028,0.3284,0.2564,610.0,1000.0000000000002,97.93308373011078,511,66.1362230551458,5.250626287670689,610
deep_forest,0,1000,8192,0,1,True,0,None,3,1,False,20,-2,0.022,0.026,0.3373,0.2539,666.0,1000.0000000000002,96.13994429418446,530,68.74590896918885,5.307099172672326,666
deep_forest,0,1000,8192,0,1,True,0,None,3,1,False,21,-2,0.019,0.022,0.3309,0.2561,687.0,1000.0000000000006,90.57102798970053,544,59.447455790807396,5.386082709426945,687
deep_forest,0,1000,8192,0,1,True,0,None,3,1,False,22,-2,0.0,0.003,0.3368,0.2768,857.0,1000.0000000000003,83.91397711678047,600,62.94441992742486,5.5695082480198055,857
deep_forest,0,1000,8192,0,1,True,0,None,3,1,False,23,-2,0.0,0.001,0.333,0.2691,888.0,1000.0000000000002,75.5983538915439,699,48.41487374764082,5.72100455780439,888
deep_forest,0,1000,8192,0,1,True,0,None,3,1,False,24,-2,0.001,0.003,0.335,0.2716,868.0,1000.0000000000002,75.77012017352956,671,48.92851929090027,5.694797820897344,868
deep_forest,0,1000,8192,0,1,True,0,None,3,1,False,25,-2,0.001,0.004,0.3395,0.2769,857.0,1000.0,84.24171571535484,567,58.532042506647585,5.550973282807053,857
deep_forest,0,1000,8192,0,1,True,0,None,3,1,False,26,-2,0.0,0.002,0.3246,0.277,897.0,1000.0000000000002,76.373351955305,598,54.80875842417888,5.664571594019237,897
deep_forest,0,1000,8192,0,1,True,0,None,3,1,False,27,-2,0.0,0.002,0.3318,0.2724,872.0,1000.0,79.09207011803115,645,53.23532661682466,5.659423427229642,872
deep_forest,0,1000,8192,0,1,True,0,None,3,1,False,28,-2,0.0,0.0,0.3376,0.2751,911.0,1000.0000000000006,77.50125447013387,640,53.68426212587819,5.694729109191265,911
