model,rep,n_train_samples,n_test_samples,recurse_level,cov_scale,onehot,noise_dims,shuffle_label_frac,hidden_layer_dims,n_epochs,learning_rate,verbose,early_stop_thresh,bias,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_entropy,PEN_IRM_L0,PEN_IRM_L1,PEN_IRM_L2,PEN_n_regions,PEN_ACTS_L2,PEN_IRM_entropy,n_parameters,depth,width,kernel_trace,head_norm
deep_relu,0,1000,2048,0,1,True,0,None,20,1000,0.01,0,None,True,0.215,0.162,0.2852,0.2054,20.0,545.8,370.634,88.0,210.689,1.206,20.0,545.8,370.634,88.0,210.689,1.206,102.0,1.0,20.0,1005.243,2.628
deep_relu,0,1000,2048,0,1,True,0,None,20;20,1000,0.01,0,None,True,0.199,0.146,0.2979,0.2331,40.0,481.4,327.795,234.0,127.937,1.316,19.0,416.45,282.774,80.0,256.659,1.203,522.0,2.0,20.0,4104.594,4.921
deep_relu,0,1000,2048,0,1,True,0,None,20;20;20,1000,0.01,0,None,True,0.191,0.142,0.3149,0.2504,58.0,480.367,343.263,363.0,94.932,1.278,17.0,455.85,356.781,66.0,225.708,0.94,942.0,3.0,20.0,3536.184,4.877
deep_relu,0,1000,2048,0,1,True,0,None,20;20;20;20,1000,0.01,0,None,True,0.147,0.108,0.3174,0.261,80.0,567.438,428.401,562.0,60.448,1.2,20.0,701.85,608.177,97.0,212.8,0.672,1362.0,4.0,20.0,3448.879,5.504
deep_relu,0,1000,2048,0,1,True,0,None,20;20;20;20;20;20,1000,0.01,0,None,True,0.137,0.104,0.3198,0.2676,119.0,491.283,386.733,626.0,53.104,1.117,18.0,484.7,376.759,65.0,256.18,0.93,2202.0,6.0,20.0,8183.881,7.188
deep_relu,0,1000,2048,0,1,True,0,None,20;20;20;20;20;20;20;20,1000,0.01,0,None,True,0.124,0.101,0.3218,0.2863,158.0,437.881,306.902,843.0,38.626,1.55,18.0,414.1,332.882,77.0,338.124,0.815,3042.0,8.0,20.0,7872.039,2.495
deep_relu,0,1000,2048,0,1,True,0,None,20;20;20;20;20;20;20;20;20;20,1000,0.01,0,None,True,0.142,0.107,0.333,0.2782,200.0,425.33,292.203,782.0,42.143,1.537,20.0,358.1,268.542,45.0,339.217,0.959,3882.0,10.0,20.0,2816.729,2.146
deep_relu,0,1000,2048,0,1,True,0,None,20;20;20;20;20;20;20;20;20;20;20;20,1000,0.01,0,None,True,0.145,0.107,0.3262,0.273,240.0,410.867,280.422,879.0,37.148,1.583,20.0,518.45,408.533,52.0,393.7,0.834,4722.0,12.0,20.0,3574.355,1.571
deep_relu,0,1000,2048,0,1,True,0,None,20;20;20;20;20;20;20;20;20;20;20;20;20;20;20,1000,0.01,0,None,True,0.162,0.122,0.3091,0.2548,296.0,343.37,243.463,859.0,38.419,1.451,16.0,212.35,155.69,18.0,479.272,0.92,5982.0,15.0,20.0,12559.816,1.406
deep_relu,0,1000,2048,0,1,True,0,None,20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20,1000,0.01,0,None,True,0.141,0.103,0.3232,0.2698,399.0,335.82,250.63,881.0,36.166,1.27,19.0,339.95,267.164,15.0,634.159,0.686,8082.0,20.0,20.0,44190.445,1.305
deep_relu,0,1000,2048,0,1,True,0,None,20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20,1000,0.01,0,None,True,0.216,0.161,0.2925,0.2156,497.0,286.728,231.539,605.0,58.805,0.933,17.0,377.65,291.258,12.0,648.964,0.724,10182.0,25.0,20.0,2135.84,1.344
deep_relu,0,1000,2048,0,1,True,0,None,20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20,1000,0.01,0,None,True,0.214,0.162,0.2915,0.2192,599.0,271.793,236.174,564.0,67.661,0.711,17.0,405.65,343.825,9.0,455.64,0.582,12282.0,30.0,20.0,2241.46,1.097
deep_relu,1,1000,2048,0,1,True,0,None,20,1000,0.01,0,None,True,0.286,0.19,0.2778,0.1881,19.0,464.35,312.312,85.0,182.532,1.263,19.0,464.35,312.312,85.0,182.532,1.263,102.0,1.0,20.0,548.697,3.611
