model,rep,n_train_samples,n_test_samples,recurse_level,cov_scale,onehot,noise_dims,shuffle_label_frac,hidden_layer_dims,n_epochs,learning_rate,verbose,early_stop_thresh,bias,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_entropy,PEN_IRM_L0,PEN_IRM_L1,PEN_IRM_L2,PEN_n_regions,PEN_ACTS_L2,PEN_IRM_entropy,n_parameters,depth,width,kernel_trace,head_norm
relu,0,1000,2048,0,1,True,0,None,2,1000,0.01,0,None,True,0.407,0.24,0.417,0.2444,2.0,286.0,286.0,2.0,769.15,0.0,2.0,286.0,286.0,2.0,769.15,0.0,12.0,1.0,2.0,280.367,1.06
relu,0,1000,2048,0,1,True,0,None,2;2,1000,0.01,0,None,True,0.295,0.206,0.3262,0.2331,4.0,545.5,417.942,5.0,617.835,0.64,2.0,644.0,567.704,3.0,624.026,0.382,18.0,2.0,2.0,1959.358,1.17
relu,0,1000,2048,0,1,True,0,None,2;2;2,1000,0.01,0,None,True,0.299,0.203,0.3271,0.2335,6.0,518.667,370.937,9.0,468.389,0.895,2.0,560.0,510.686,2.0,888.144,0.309,24.0,3.0,2.0,2389.285,1.256
relu,0,1000,2048,0,1,True,0,None,2;2;2;2,1000,0.01,0,None,True,0.354,0.212,0.3838,0.2382,7.0,571.375,442.559,15.0,555.39,0.81,1.0,399.5,399.5,2.0,823.894,0.0,30.0,4.0,2.0,416.09,2.298
relu,0,1000,2048,0,1,True,0,None,2;2;2;2;2;2,1000,0.01,0,None,True,0.357,0.203,0.3916,0.225,12.0,677.25,603.884,16.0,589.725,0.488,2.0,893.0,841.279,3.0,800.753,0.226,42.0,6.0,2.0,2017.15,1.61
relu,0,1000,2048,0,1,True,0,None,2;2;2;2;2;2;2;2,1000,0.01,0,None,True,0.5,0.25,0.5,0.25,10.0,367.562,316.807,10.0,501.647,0.549,1.0,500.0,500.0,1.0,1000.0,0.0,54.0,8.0,2.0,92.895,0.869
relu,0,1000,2048,0,1,True,0,None,2;2;2;2;2;2;2;2;2;2,1000,0.01,0,None,True,0.5,0.25,0.5,0.25,5.0,474.3,462.298,2.0,707.384,0.119,1.0,500.0,500.0,1.0,1000.0,0.0,66.0,10.0,2.0,164.99,0.722
relu,0,1000,2048,0,1,True,0,None,2;2;2;2;2;2;2;2;2;2;2;2,1000,0.01,0,None,True,0.5,0.25,0.5,0.25,17.0,487.708,444.511,10.0,480.943,0.386,0.0,0.0,0.0,1.0,1000.0,nan,78.0,12.0,2.0,0.0,1.141
relu,0,1000,2048,0,1,True,0,None,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,1000,0.01,0,None,True,0.5,0.25,0.5,0.25,17.0,473.267,456.415,6.0,493.883,0.187,2.0,1000.0,1000.0,1.0,1000.0,0.0,96.0,15.0,2.0,129.051,0.401
relu,0,1000,2048,0,1,True,0,None,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,1000,0.01,0,None,True,0.5,0.25,0.5,0.25,22.0,515.225,497.553,5.0,577.162,0.169,2.0,1000.0,1000.0,1.0,1000.0,0.0,126.0,20.0,2.0,1496.842,0.457
relu,0,1000,2048,0,1,True,0,None,3,1000,0.01,0,None,True,0.223,0.167,0.2803,0.2057,3.0,521.333,407.137,7.0,432.13,0.692,3.0,521.333,407.137,7.0,432.13,0.692,17.0,1.0,3.0,6307.677,2.326
relu,0,1000,2048,0,1,True,0,None,3;3,1000,0.01,0,None,True,0.218,0.166,0.2803,0.2105,6.0,590.667,442.054,19.0,407.426,0.906,3.0,533.0,424.298,5.0,563.768,0.637,29.0,2.0,3.0,999.998,3.117
relu,0,1000,2048,0,1,True,0,None,3;3;3,1000,0.01,0,None,True,0.217,0.166,0.2827,0.2118,8.0,585.111,450.803,24.0,301.41,0.905,2.0,453.667,403.325,3.0,637.679,0.365,41.0,3.0,3.0,909.134,2.109
relu,0,1000,2048,0,1,True,0,None,3;3;3;3,1000,0.01,0,None,True,0.224,0.167,0.2871,0.2182,11.0,546.417,409.335,34.0,282.821,1.014,2.0,539.333,487.6,3.0,722.402,0.329,53.0,4.0,3.0,1311.884,1.926
relu,0,1000,2048,0,1,True,0,None,3;3;3;3;3;3,1000,0.01,0,None,True,0.351,0.229,0.3989,0.2624,17.0,455.556,370.35,27.0,483.56,0.702,2.0,665.667,665.167,2.0,997.005,0.006,77.0,6.0,3.0,627.943,2.877
relu,0,1000,2048,0,1,True,0,None,3;3;3;3;3;3;3;3,1000,0.01,0,None,True,0.5,0.25,0.5,0.25,16.0,308.208,234.308,29.0,305.336,0.939,1.0,333.333,333.333,1.0,1000.0,0.0,101.0,8.0,3.0,2.811,0.847
relu,0,1000,2048,0,1,True,0,None,3;3;3;3;3;3;3;3;3;3,1000,0.01,0,None,True,0.5,0.25,0.5,0.25,15.0,441.467,409.934,8.0,445.28,0.324,2.0,666.667,666.667,1.0,1000.0,0.0,125.0,10.0,3.0,104.987,0.718
relu,0,1000,2048,0,1,True,0,None,3;3;3;3;3;3;3;3;3;3;3;3,1000,0.01,0,None,True,0.351,0.223,0.3955,0.2487,35.0,498.778,432.61,30.0,422.448,0.527,2.0,591.333,558.291,3.0,807.551,0.22,149.0,12.0,3.0,57074.633,1.529
relu,0,1000,2048,0,1,True,0,None,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,1000,0.01,0,None,True,0.5,0.25,0.5,0.25,18.0,397.511,349.151,31.0,311.65,0.543,0.0,0.0,0.0,1.0,1000.0,nan,185.0,15.0,3.0,0.0,0.971
relu,0,1000,2048,0,1,True,0,None,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,1000,0.01,0,None,True,0.5,0.25,0.5,0.25,42.0,487.9,462.055,31.0,394.241,0.286,0.0,0.0,0.0,1.0,1000.0,nan,245.0,20.0,3.0,0.0,1.185
relu,0,1000,2048,0,1,True,0,None,4,1000,0.01,0,None,True,0.225,0.168,0.2788,0.2056,4.0,535.25,429.211,10.0,424.643,0.66,4.0,535.25,429.211,10.0,424.643,0.66,22.0,1.0,4.0,4313.405,2.501
relu,0,1000,2048,0,1,True,0,None,4;4,1000,0.01,0,None,True,0.223,0.164,0.2827,0.2039,7.0,522.5,387.42,13.0,354.161,0.918,3.0,573.0,525.971,2.0,765.851,0.293,42.0,2.0,4.0,2164.293,1.35
relu,0,1000,2048,0,1,True,0,None,4;4;4,1000,0.01,0,None,True,0.22,0.163,0.293,0.2124,12.0,484.333,332.898,43.0,223.298,1.176,4.0,544.5,433.348,7.0,452.069,0.662,62.0,3.0,4.0,767.729,2.541
relu,0,1000,2048,0,1,True,0,None,4;4;4;4,1000,0.01,0,None,True,0.5,0.25,0.5,0.25,11.0,470.812,367.212,27.0,311.846,0.855,0.0,0.0,0.0,1.0,1000.0,nan,82.0,4.0,4.0,0.0,0.788
relu,0,1000,2048,0,1,True,0,None,4;4;4;4;4;4,1000,0.01,0,None,True,0.344,0.204,0.3926,0.2378,24.0,506.75,404.094,53.0,365.308,0.824,4.0,157.75,126.512,5.0,674.574,0.547,122.0,6.0,4.0,247.799,2.166
relu,0,1000,2048,0,1,True,0,None,4;4;4;4;4;4;4;4,1000,0.01,0,None,True,0.215,0.164,0.293,0.2227,30.0,712.469,627.554,61.0,250.611,0.583,3.0,570.75,522.183,4.0,656.541,0.303,162.0,8.0,4.0,1505.419,1.908
relu,0,1000,2048,0,1,True,0,None,4;4;4;4;4;4;4;4;4;4,1000,0.01,0,None,True,0.5,0.25,0.5,0.25,27.0,396.6,349.926,40.0,276.572,0.565,0.0,0.0,0.0,1.0,1000.0,nan,202.0,10.0,4.0,0.0,1.299
relu,0,1000,2048,0,1,True,0,None,4;4;4;4;4;4;4;4;4;4;4;4,1000,0.01,0,None,True,0.223,0.17,0.2827,0.2175,44.0,512.542,457.678,55.0,228.679,0.546,1.0,242.25,242.25,2.0,969.496,0.0,242.0,12.0,4.0,2631.145,1.207
relu,0,1000,2048,0,1,True,0,None,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4,1000,0.01,0,None,True,0.5,0.25,0.5,0.25,57.0,405.083,368.804,41.0,253.282,0.447,2.0,500.0,500.0,1.0,1000.0,0.0,302.0,15.0,4.0,97.152,1.082
relu,0,1000,2048,0,1,True,0,None,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4,1000,0.01,0,None,True,0.218,0.173,0.29,0.226,79.0,517.413,450.45,72.0,327.313,0.612,2.0,500.0,500.0,1.0,1000.0,0.0,402.0,20.0,4.0,5067.06,1.141
