model,rep,n_train_samples,n_test_samples,recurse_level,cov_scale,onehot,noise_dims,shuffle_label_frac,n_estimators,max_features,bootstrap,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_entropy,n_total_leaves
shallow_forest,0,1000,8192,0,0.15,True,0,None,1,1,False,2,-2,0.487,0.247,0.5011,0.2536,4.0,1000.0,957.3285747328343,4,957.3285747328343,0.2241651241006346,4
shallow_forest,0,1000,8192,0,0.15,True,0,None,1,1,False,5,-2,0.464,0.235,0.4705,0.2368,10.0,1000.0,939.4051309206268,10,939.4051309206268,0.3408523472637121,10
shallow_forest,0,1000,8192,0,0.15,True,0,None,1,1,False,15,-2,0.0,0.0,0.0226,0.0226,38.0,1000.0,289.66187184370676,38,289.66187184370676,2.7474581132288223,38
shallow_forest,0,1000,8192,0,0.15,True,0,None,1,1,False,40,-2,0.0,0.0,0.026,0.026,45.0,1000.0,293.4382388169613,45,293.4382388169613,2.7617790625541447,45
shallow_forest,0,1000,8192,0,0.15,True,0,None,2,1,False,2,-2,0.478,0.243,0.4855,0.2462,8.0,1000.0000000000001,962.3611588172083,5,962.3066039469957,0.19868400804890632,8
shallow_forest,0,1000,8192,0,0.15,True,0,None,2,1,False,5,-2,0.443,0.23,0.4663,0.2363,30.0,1000.0000000000002,825.3084271955546,23,781.426899972096,0.8051584046251938,30
shallow_forest,0,1000,8192,0,0.15,True,0,None,2,1,False,15,-2,0.004,0.014,0.0291,0.0298,83.0,1000.0000000000002,295.7287608603533,85,257.4995145626492,2.9865789444047444,83
shallow_forest,0,1000,8192,0,0.15,True,0,None,2,1,False,40,-2,0.0,0.0,0.0188,0.015,75.0,1000.0000000000001,331.67981548475336,68,279.03404810166086,2.661126830314099,75
shallow_forest,0,1000,8192,0,0.15,True,0,None,3,1,False,2,-2,0.486,0.247,0.4974,0.2509,12.0,1000.0000000000001,962.511644951201,5,962.5092207350535,0.18552956624965292,12
shallow_forest,0,1000,8192,0,0.15,True,0,None,3,1,False,5,-2,0.452,0.233,0.4753,0.2388,33.0,1000.0,852.5483368505661,19,778.7207458389689,0.7019431342411846,33
shallow_forest,0,1000,8192,0,0.15,True,0,None,3,1,False,15,-2,0.0,0.001,0.0272,0.0222,137.0,1000.0,339.12206913997466,74,301.7416113167026,2.7328277215748455,137
shallow_forest,0,1000,8192,0,0.15,True,0,None,3,1,False,40,-2,0.0,0.0,0.0314,0.0221,152.0,1000.0,264.8878169254969,123,195.49936061276517,3.2853098242131726,152
shallow_forest,0,1000,8192,0,0.15,True,0,None,4,1,False,2,-2,0.48,0.246,0.5,0.2507,16.0,999.9999999999999,963.3213378722594,7,953.3068760897511,0.20875429869848883,16
shallow_forest,0,1000,8192,0,0.15,True,0,None,4,1,False,5,-2,0.417,0.232,0.4531,0.2366,49.0,1000.0000000000002,798.3455548820949,27,615.5062956623595,0.892618451375264,49
shallow_forest,0,1000,8192,0,0.15,True,0,None,4,1,False,15,-2,0.0,0.001,0.0105,0.0151,164.0,1000.0,301.1388799208763,126,205.0463362267173,3.021356213536648,164
