model,rep,n_train_samples,n_test_samples,recurse_level,cov_scale,onehot,noise_dims,shuffle_label_frac,n_estimators,max_features,bootstrap,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_entropy,n_total_leaves
shallow_forest,0,1000,8192,0,1,True,0,None,1,1,False,5,-2,0.444,0.229,0.4795,0.2534,20.0,1000.0,880.8234783428517,20,880.8234783428517,0.6720870624473366,20
shallow_forest,0,1000,8192,0,1,True,0,None,2,1,False,5,-2,0.448,0.233,0.4792,0.2467,31.0,1000.0000000000002,915.2464149069367,30,902.4056737410287,0.5207286926199104,31
shallow_forest,0,1000,8192,0,1,True,0,None,3,1,False,5,-2,0.464,0.233,0.5054,0.2464,51.0,1000.0000000000005,766.4660607112506,39,636.2295183343822,1.029027449618587,51
shallow_forest,0,1000,8192,0,1,True,0,None,4,1,False,5,-2,0.451,0.233,0.4824,0.2487,71.0,1000.0,914.4456654170327,35,905.3364015657385,0.5333346056304364,71
shallow_forest,0,1000,8192,0,1,True,0,None,5,1,False,5,-2,0.453,0.233,0.4836,0.2463,80.0,1000.0000000000002,896.092138119736,36,862.1322404364657,0.6156489052241845,80
shallow_forest,0,1000,8192,0,1,True,0,None,7,1,False,5,-2,0.448,0.233,0.4868,0.2488,133.0,1000.0000000000006,840.1715325346562,44,741.0587021282457,0.803028718277829,133
shallow_forest,0,1000,8192,0,1,True,0,None,10,1,False,5,-2,0.446,0.233,0.4833,0.2472,162.0,1000.0000000000006,879.9712154383233,46,733.9727515378211,0.700066296490524,162
shallow_forest,0,1000,8192,0,1,True,0,None,13,1,False,5,-2,0.439,0.232,0.484,0.2469,226.0,1000.0000000000006,809.1470927782408,64,613.6122554186805,0.9605826490448113,226
shallow_forest,0,1000,8192,0,1,True,0,None,16,1,False,5,-2,0.387,0.23,0.4314,0.2448,272.0,1000.0000000000007,882.0093492630904,56,748.2299111904041,0.7019539624793242,272
shallow_forest,0,1000,8192,0,1,True,0,None,20,1,False,5,-2,0.385,0.229,0.4312,0.2437,338.0,1000.0000000000008,838.6804158915362,73,464.0560310996938,0.9227714955136598,338
shallow_forest,1,1000,8192,0,1,True,0,None,1,1,False,5,-2,0.263,0.172,0.309,0.2056,27.0,1000.0,305.3358806298402,27,305.3358806298402,2.6446588521980954,27
shallow_forest,1,1000,8192,0,1,True,0,None,2,1,False,5,-2,0.278,0.186,0.3385,0.2137,50.0,999.9999999999999,318.29546022524414,77,254.36980952935434,2.7500447075657055,50
shallow_forest,1,1000,8192,0,1,True,0,None,3,1,False,5,-2,0.254,0.173,0.2999,0.1943,62.0,1000.0,319.326374315266,89,207.24381776062705,2.857192630374104,62
shallow_forest,1,1000,8192,0,1,True,0,None,4,1,False,5,-2,0.255,0.171,0.3082,0.1938,91.0,1000.0000000000002,257.9229536121204,96,177.61193653580833,3.1186485971338618,91
shallow_forest,1,1000,8192,0,1,True,0,None,5,1,False,5,-2,0.251,0.165,0.3175,0.1977,129.0,1000.0,262.26978476370465,163,157.53729717117784,3.2260130310374233,129
shallow_forest,1,1000,8192,0,1,True,0,None,7,1,False,5,-2,0.262,0.175,0.2958,0.197,144.0,1000.0,306.06775293675594,158,151.45296299511608,2.9726714360985085,144
shallow_forest,1,1000,8192,0,1,True,0,None,10,1,False,5,-2,0.249,0.167,0.2979,0.1939,246.0,1000.0000000000002,284.63759414385163,229,126.26163312740731,3.191882114870593,246
shallow_forest,1,1000,8192,0,1,True,0,None,13,1,False,5,-2,0.255,0.172,0.2959,0.1945,278.0,999.9999999999999,292.1963350640319,264,115.07388930595855,3.13305106030659,278
shallow_forest,1,1000,8192,0,1,True,0,None,16,1,False,5,-2,0.241,0.166,0.3011,0.192,373.0,1000.0000000000005,264.59236041031124,302,100.86624807139403,3.3347614176551184,373
shallow_forest,1,1000,8192,0,1,True,0,None,20,1,False,5,-2,0.239,0.168,0.2944,0.1922,452.0,1000.0000000000001,276.9630029444366,339,95.3205119583398,3.300433988157148,452
shallow_forest,2,1000,8192,0,1,True,0,None,1,1,False,5,-2,0.433,0.227,0.4578,0.2426,17.0,1000.0,689.8912957850679,17,689.8912957850679,1.3372718116417817,17
shallow_forest,2,1000,8192,0,1,True,0,None,2,1,False,5,-2,0.263,0.195,0.3019,0.2118,25.0,1000.0000000000001,491.66451976932404,27,407.6002944061743,1.8740660644929186,25
