model,rep,n_train_samples,n_test_samples,recurse_level,cov_scale,onehot,noise_dims,shuffle_label_frac,hidden_layer_dims,n_epochs,learning_rate,verbose,early_stop_thresh,bias,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_entropy,PEN_IRM_L0,PEN_IRM_L1,PEN_IRM_L2,PEN_n_regions,PEN_ACTS_L2,PEN_IRM_entropy,n_parameters,depth,width,kernel_trace,head_norm
wide_relu,0,1000,2048,0,1,True,0,None,1;1;1,1000,0.01,0,None,True,0.407,0.24,0.4165,0.2444,3.0,356.0,335.964,4.0,677.844,0.232,1.0,286.0,286.0,2.0,769.15,0.0,11.0,3.0,1.0,1708.58,0.569
wide_relu,0,1000,2048,0,1,True,0,None,2;2;2,1000,0.01,0,None,True,0.227,0.174,0.2769,0.218,6.0,592.333,430.536,14.0,366.219,0.964,2.0,424.0,311.709,4.0,614.983,0.652,24.0,3.0,2.0,2223.83,3.055
wide_relu,0,1000,2048,0,1,True,0,None,3;3;3,1000,0.01,0,None,True,0.5,0.25,0.5,0.25,5.0,202.0,135.181,10.0,491.412,1.051,0.0,0.0,0.0,1.0,1000.0,nan,41.0,3.0,3.0,0.0,1.05
wide_relu,0,1000,2048,0,1,True,0,None,4;4;4,1000,0.01,0,None,True,0.207,0.163,0.2852,0.2239,12.0,517.833,361.337,43.0,287.552,1.126,3.0,306.5,213.932,7.0,575.757,0.788,62.0,3.0,4.0,358.812,3.506
wide_relu,0,1000,2048,0,1,True,0,None,6;6;6,1000,0.01,0,None,True,0.209,0.161,0.2905,0.2227,18.0,471.833,357.794,74.0,212.396,1.046,6.0,562.833,509.2,5.0,624.751,0.376,116.0,3.0,6.0,667.495,2.46
wide_relu,0,1000,2048,0,1,True,0,None,8;8;8,1000,0.01,0,None,True,0.206,0.154,0.2974,0.224,24.0,547.333,395.809,113.0,156.71,1.163,8.0,510.375,408.249,17.0,362.825,0.774,186.0,3.0,8.0,5845.977,6.592
wide_relu,0,1000,2048,0,1,True,0,None,16;16;16,1000,0.01,0,None,True,0.187,0.138,0.3081,0.2374,48.0,520.542,376.938,293.0,94.138,1.255,16.0,595.125,475.569,58.0,238.667,0.898,626.0,3.0,16.0,12508.711,5.189
wide_relu,0,1000,2048,0,1,True,0,None,20;20;20,1000,0.01,0,None,True,0.187,0.136,0.3057,0.2424,58.0,485.75,351.339,302.0,92.844,1.241,19.0,457.45,364.723,52.0,304.056,0.879,942.0,3.0,20.0,6010.454,4.499
wide_relu,0,1000,2048,0,1,True,0,None,24;24;24,1000,0.01,0,None,True,0.179,0.126,0.3096,0.2488,72.0,500.583,365.487,453.0,65.559,1.272,23.0,454.5,354.206,96.0,178.561,1.013,1322.0,3.0,24.0,4685.142,6.312
wide_relu,0,1000,2048,0,1,True,0,None,28;28;28,1000,0.01,0,None,True,0.174,0.128,0.3086,0.2433,84.0,510.571,378.077,469.0,68.615,1.225,28.0,451.179,337.657,114.0,172.401,1.1,1766.0,3.0,28.0,6646.901,7.936
wide_relu,0,1000,2048,0,1,True,0,None,32;32;32,1000,0.01,0,None,True,0.172,0.122,0.3154,0.2475,96.0,487.875,360.283,527.0,62.849,1.232,32.0,538.938,430.696,138.0,169.694,0.937,2274.0,3.0,32.0,3951.391,6.162
wide_relu,0,1000,2048,0,1,True,0,None,38;38;38,1000,0.01,0,None,True,0.163,0.124,0.3218,0.2528,113.0,413.956,290.036,546.0,58.754,1.361,37.0,421.079,304.826,143.0,174.597,1.158,3156.0,3.0,38.0,3499.908,7.179
wide_relu,0,1000,2048,0,1,True,0,None,42;42;42,1000,0.01,0,None,True,0.184,0.129,0.3081,0.2516,126.0,481.944,370.886,539.0,57.026,1.137,42.0,503.905,425.179,130.0,208.691,0.777,3824.0,3.0,42.0,4215.677,8.011
wide_relu,0,1000,2048,0,1,True,0,None,52;52;52,1000,0.01,0,None,True,0.154,0.118,0.3208,0.2619,156.0,469.199,330.042,707.0,46.109,1.38,52.0,486.827,363.206,263.0,129.174,1.12,5774.0,3.0,52.0,2927.72,4.358
wide_relu,0,1000,2048,0,1,True,0,None,64;64;64,1000,0.01,0,None,True,0.156,0.113,0.3262,0.2685,191.0,403.974,298.885,757.0,42.237,1.32,62.0,478.25,379.166,335.0,94.7,1.055,8642.0,3.0,64.0,3109.82,6.048
wide_relu,0,1000,2048,0,1,True,0,None,96;96;96,1000,0.01,0,None,True,0.12,0.087,0.3218,0.2684,286.0,377.174,262.838,863.0,37.229,1.486,94.0,312.271,213.363,442.0,79.436,1.46,19106.0,3.0,96.0,3355.837,6.754
wide_relu,0,1000,2048,0,1,True,0,None,128;128;128,1000,0.01,0,None,True,0.124,0.09,0.3462,0.3006,384.0,323.227,222.289,909.0,35.327,1.514,125.0,264.477,182.191,490.0,72.36,1.458,33666.0,3.0,128.0,2687.981,6.696
wide_relu,0,1000,2048,0,1,True,0,None,256;256;256,1000,0.01,0,None,True,0.084,0.058,0.3345,0.2925,766.0,273.844,192.698,957.0,33.015,1.512,255.0,215.172,119.736,824.0,38.936,2.08,132866.0,3.0,256.0,7889.324,7.198
wide_relu,1,1000,2048,0,1,True,0,None,1;1;1,1000,0.01,0,None,True,0.417,0.241,0.4048,0.2379,3.0,461.667,358.713,4.0,778.567,0.614,1.0,927.0,927.0,2.0,929.87,0.0,11.0,3.0,1.0,1653.19,1.271
wide_relu,1,1000,2048,0,1,True,0,None,2;2;2,1000,0.01,0,None,True,0.291,0.218,0.2817,0.2159,5.0,445.167,298.894,10.0,391.4,1.057,1.0,343.5,343.5,2.0,754.942,0.0,24.0,3.0,2.0,345.786,2.872
wide_relu,1,1000,2048,0,1,True,0,None,3;3;3,1000,0.01,0,None,True,0.295,0.198,0.2812,0.1908,9.0,826.556,726.575,23.0,365.215,0.56,3.0,840.0,770.67,4.0,703.997,0.301,41.0,3.0,3.0,4653.172,2.819
wide_relu,1,1000,2048,0,1,True,0,None,4;4;4,1000,0.01,0,None,True,0.376,0.21,0.4082,0.2269,11.0,361.667,222.047,38.0,406.224,1.292,3.0,310.25,235.131,5.0,647.997,0.763,62.0,3.0,4.0,4390.078,2.394
wide_relu,1,1000,2048,0,1,True,0,None,6;6;6,1000,0.01,0,None,True,0.293,0.185,0.2852,0.1907,16.0,585.778,499.479,42.0,291.524,0.679,4.0,665.167,664.044,3.0,991.021,0.014,116.0,3.0,6.0,7765.767,1.931
wide_relu,1,1000,2048,0,1,True,0,None,8;8;8,1000,0.01,0,None,True,0.261,0.177,0.292,0.2054,24.0,450.875,309.315,147.0,135.58,1.336,8.0,318.875,227.84,15.0,346.156,1.08,186.0,3.0,8.0,1902.016,10.341
wide_relu,1,1000,2048,0,1,True,0,None,16;16;16,1000,0.01,0,None,True,0.262,0.175,0.2856,0.1963,46.0,567.896,437.579,240.0,120.698,1.038,13.0,544.812,471.807,22.0,400.55,0.6,626.0,3.0,16.0,6965.544,2.835
wide_relu,1,1000,2048,0,1,True,0,None,20;20;20,1000,0.01,0,None,True,0.248,0.168,0.3096,0.2217,60.0,487.317,360.369,332.0,101.912,1.188,19.0,417.3,341.15,46.0,339.249,0.802,942.0,3.0,20.0,7793.856,4.753
wide_relu,1,1000,2048,0,1,True,0,None,24;24;24,1000,0.01,0,None,True,0.243,0.165,0.3027,0.2199,71.0,550.542,429.453,370.0,73.267,1.064,23.0,535.0,454.603,41.0,265.402,0.713,1322.0,3.0,24.0,5210.407,7.139
wide_relu,1,1000,2048,0,1,True,0,None,28;28;28,1000,0.01,0,None,True,0.236,0.162,0.3032,0.2119,83.0,525.976,418.403,405.0,71.972,1.009,27.0,365.464,280.559,71.0,230.699,0.976,1766.0,3.0,28.0,6995.371,3.527
wide_relu,1,1000,2048,0,1,True,0,None,32;32;32,1000,0.01,0,None,True,0.225,0.157,0.314,0.2243,96.0,497.146,377.058,478.0,65.223,1.157,31.0,547.625,474.342,83.0,215.021,0.651,2274.0,3.0,32.0,3539.416,3.636
wide_relu,1,1000,2048,0,1,True,0,None,38;38;38,1000,0.01,0,None,True,0.222,0.147,0.2998,0.2194,113.0,504.526,389.578,546.0,59.649,1.142,37.0,558.921,484.839,134.0,170.693,0.696,3156.0,3.0,38.0,2524.406,8.11
wide_relu,1,1000,2048,0,1,True,0,None,42;42;42,1000,0.01,0,None,True,0.224,0.153,0.3154,0.2282,124.0,478.603,357.706,622.0,56.125,1.229,41.0,467.024,383.758,170.0,157.499,0.873,3824.0,3.0,42.0,3102.51,5.314
wide_relu,1,1000,2048,0,1,True,0,None,52;52;52,1000,0.01,0,None,True,0.207,0.139,0.3062,0.2366,155.0,472.404,365.481,699.0,45.717,1.163,51.0,448.808,370.203,217.0,129.992,0.892,5774.0,3.0,52.0,2178.816,7.165
wide_relu,1,1000,2048,0,1,True,0,None,64;64;64,1000,0.01,0,None,True,0.215,0.16,0.3306,0.2787,192.0,405.031,276.041,822.0,38.079,1.513,64.0,360.187,261.706,338.0,114.761,1.237,8642.0,3.0,64.0,3350.175,5.998
wide_relu,1,1000,2048,0,1,True,0,None,96;96;96,1000,0.01,0,None,True,0.146,0.101,0.3228,0.2699,285.0,371.705,249.443,883.0,36.249,1.583,93.0,297.521,199.547,435.0,89.196,1.494,19106.0,3.0,96.0,5652.51,6.785
wide_relu,1,1000,2048,0,1,True,0,None,128;128;128,1000,0.01,0,None,True,0.102,0.072,0.3413,0.293,381.0,289.44,182.846,896.0,35.553,1.757,123.0,257.906,156.297,594.0,55.893,1.808,33666.0,3.0,128.0,6442.561,7.884
