model,rep,n_train_samples,n_test_samples,save_path,n_estimators,bootstrap,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,n_total_leaves
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,2,False,None,-2,0.0,0.0,0.24570000000000003,0.32883608369791073,20000.000000000007,1647.3627408679608,4971,552.2789150420284,3086,4971,68852.54443877786,0.145044131215296,6.01142170123234,0.06011421701232342,3327
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,3,False,None,-2,0.0,0.0,0.16610000000000003,0.31106843663744305,30000.00000000001,2302.6358808982372,6671,333.0345327439784,4117,6671,109607.42698274778,0.18510191787229002,6.293266205160479,0.06293266205160478,4767
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,4,False,None,-2,0.0,0.0,0.13539999999999996,0.306411301484702,40000.00000000003,3274.6627307251047,7582,352.6216102283012,5131,7582,151780.93485583292,0.22674143864763668,6.142506142506143,0.06142506142506142,6512
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,5,False,None,-2,0.0,0.0,0.11750000000000005,0.30595078960533045,50000.00000000004,3532.7770945815428,8436,216.8501786948768,5964,8436,190505.49798739702,0.2366560795754041,6.096817461285209,0.06096817461285208,8201
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,7,False,None,-2,0.0,0.0,0.0938,0.28758637715766017,70000.0000000001,5257.261454407609,8807,186.9438418349211,6972,8807,285897.784820944,0.30126257650096533,6.260060812019318,0.06260060812019316,11182
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,10,False,None,-2,0.0,0.0,0.07569999999999999,0.28566619342877114,100000.00000000015,7139.681505501488,9307,147.01700581905482,7831,9307,422586.3720797538,0.35109480201222004,6.282590940503863,0.06282590940503864,15917
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,13,False,None,-2,0.0,0.0,0.06910000000000005,0.28571933390696397,130000.00000000025,9268.663226161581,9640,118.28778466096996,8578,9640,564471.897991142,0.40240653573221197,6.197263669733519,0.06197263669733517,20977
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,16,False,None,-2,0.0,0.0,0.0615,0.2818235358862632,160000.00000000023,10906.484218115387,9705,115.35163631262454,8887,9705,714385.1044287881,0.43842337985102936,6.1885975090895045,0.06188597509089502,25854
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,20,False,None,-2,0.0,0.0,0.05820000000000003,0.2784892089292014,200000.0000000004,13649.869962750561,9832,104.94760597555334,9158,9832,924640.3906978464,0.4931789330456037,6.206746733699532,0.0620674673369953,32223
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,2,False,None,-2,0.0,0.0,0.2368,0.3255972625752768,20000.000000000004,1928.1135858657296,4831,737.0237445293062,2980,4831,71613.88946105768,0.1622101723074111,6.216972334473111,0.06216972334473113,3217
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,3,False,None,-2,0.0,0.0,0.16369999999999996,0.3098707217169669,30000.00000000001,2588.2592605842256,6570,464.03879148191913,4176,6570,111040.79362907643,0.19728897587042213,6.150061500615007,0.061500615006150054,4878
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,4,False,None,-2,0.0,0.0,0.132,0.3047635794101109,40000.00000000003,3018.3677708324412,7762,296.24314338056837,5031,7762,151051.656913223,0.21625762414305766,6.252931061435047,0.06252931061435046,6397
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,5,False,None,-2,0.0,0.0,0.11780000000000002,0.3024380676158151,50000.00000000006,3979.2680231419454,8349,347.154144437309,5967,8349,192194.62717969908,0.25021019163894986,6.142506142506143,0.06142506142506142,8140
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,7,False,None,-2,0.0,0.0,0.0968,0.29540325899875736,70000.0000000001,5343.463857836041,8836,232.70582287514853,6934,8836,282707.0608788045,0.29588149654887175,6.235524674861928,0.062355246748619274,11226
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,10,False,None,-2,0.0,0.0,0.0817,0.29114515839038174,100000.00000000016,7465.22310450264,9351,162.35762994081924,7879,9351,422280.4107365231,0.3589988300816592,6.228589224540643,0.062285892245406434,16055
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,13,False,None,-2,0.0,0.0,0.06810000000000005,0.28479368886489154,130000.00000000016,9124.19706056374,9610,114.33284742365161,8465,9610,568134.6988085541,0.4023126644787608,6.2242650579335415,0.06224265057933543,20886
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,16,False,None,-2,0.0,0.0,0.06720000000000004,0.28272493343600325,160000.00000000026,10792.14612577128,9758,108.59097568398582,8906,9758,713772.4106148435,0.43906876454605603,6.1633281972265,0.061633281972265024,25960
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,20,False,None,-2,0.0,0.0,0.06040000000000001,0.2789534857254396,200000.00000000035,13982.227075827372,9847,103.23759005323593,9152,9847,927776.2463020029,0.5004729962745242,6.202896752783552,0.06202896752783551,32243
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,2,False,None,-2,0.0,0.0,0.2389,0.32799634883303713,20000.000000000004,1697.40920228447,4906,556.7243483089275,3050,4906,70045.77082032958,0.15037666042308562,6.09942055504727,0.0609942055504727,3279
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,3,False,None,-2,0.0,0.0,0.16259999999999997,0.31304796689014314,30000.000000000015,2619.0498277046963,6666,541.5717865620402,4216,6666,109746.86988336765,0.19350705413498498,6.098800569221388,0.06098800569221386,4919
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,4,False,None,-2,0.0,0.0,0.12860000000000005,0.2971081797849881,40000.00000000003,3143.351078069391,7509,296.08106997915286,5000,7509,153830.13347631088,0.22475524465515817,6.351222610352492,0.06351222610352494,6298
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,5,False,None,-2,0.0,0.0,0.1099,0.29592543034783236,50000.00000000006,3866.6528160671473,8277,234.0299126180241,5759,8277,196021.00566579425,0.2544720809833566,6.364562118126273,0.06364562118126274,7856
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,7,False,None,-2,0.0,0.0,0.09799999999999998,0.29762914658489575,70000.00000000009,4669.394179120029,9112,136.22040963086258,7061,9112,276746.56537916075,0.28044946068766113,6.155469574393244,0.06155469574393247,11372
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,10,False,None,-2,0.0,0.0,0.08009999999999995,0.28829411148825274,100000.00000000016,6719.391936775231,9515,133.49906366712838,7923,9515,419852.18551590067,0.34428424303182975,6.191567085629373,0.061915670856293716,16151
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,13,False,None,-2,0.0,0.0,0.06910000000000005,0.2836241618855798,130000.00000000022,8988.497872280997,9547,121.74563647211345,8468,9547,565455.6598750725,0.39696022470771547,6.191950464396287,0.06191950464396285,20995
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,16,False,None,-2,0.0,0.0,0.0625,0.28167832277004373,160000.00000000026,11356.424965630687,9678,114.51637437502114,8873,9678,721061.8303931108,0.4502253213669795,6.248047485160888,0.062480474851608875,25608
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,20,False,None,-2,0.0,0.0,0.05940000000000001,0.2812149903394178,200000.0000000003,13744.278518714607,9850,109.50799057603056,9213,9850,920792.7969593577,0.49348308988252065,6.115085916957133,0.06115085916957134,32706
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,1,False,1,-2,0.7959,0.9258176933574097,0.7939,0.9250198198000334,10000.0,7337.710269559571,2,7337.710269559571,2,2,85561.20918447636,0.7337710269559571,5000.0,50.0,2
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,1,False,2,-2,0.7325999999999999,0.8955718564052457,0.7612,0.9018029258742055,10000.0,5305.52334836065,4,5305.52334836065,4,4,78889.31767659057,0.530552334836065,2500.0,25.0,4
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,1,False,3,-2,0.5869,0.8212228891171095,0.5992999999999999,0.8310617500790457,10000.0,3999.2181735934337,8,3999.2181735934337,8,8,72913.24293410566,0.3999218173593434,1250.0,12.5,8
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,1,False,4,-2,0.5468,0.7792370533124356,0.5726,0.8021565627665351,10000.0,3822.775431541853,16,3822.775431541853,16,16,70571.21023685244,0.38227754315418533,625.0,6.25,16
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,1,False,5,-2,0.3808,0.6145871019412388,0.394,0.6242625019598765,10000.0,2365.9087049165696,32,2365.9087049165696,32,32,61011.4344179343,0.23659087049165695,312.5,3.125,32
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,1,False,6,-2,0.33320000000000005,0.5493574353768325,0.34919999999999995,0.5627314590011169,10000.0,2015.7995932135714,63,2015.7995932135714,63,63,56249.77789290672,0.20157995932135714,158.73015873015873,1.587301587301587,63
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,1,False,7,-2,0.3157,0.5042451369898768,0.33940000000000003,0.529234078661542,10000.0,1736.2257917678794,113,1736.2257917678794,113,113,53115.61910885111,0.17362257917678794,88.49557522123894,0.8849557522123895,113
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,1,False,8,-2,0.21930000000000005,0.3790402035503908,0.26549999999999996,0.43884085094019665,10000.0,1666.644533186366,234,1666.644533186366,234,234,48574.95044732312,0.16666445331863658,42.73504273504273,0.4273504273504274,234
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,1,False,9,-2,0.18389999999999995,0.31657046276730577,0.2672,0.42709855912760447,10000.0,1517.9532272109045,424,1517.9532272109045,424,424,44825.99301521796,0.15179532272109045,23.58490566037736,0.23584905660377356,424
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,1,False,10,-2,0.1472,0.25615235413739945,0.27480000000000004,0.415122648239985,10000.0,1431.9315626104483,663,1431.9315626104483,663,663,42007.315091263925,0.1431931562610448,15.082956259426853,0.15082956259426847,663
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,1,False,11,-2,0.07840000000000003,0.14638644422641392,0.24680000000000002,0.3700353837456757,10000.0,1351.5531806037081,874,1351.5531806037081,874,874,39908.528024816274,0.13515531806037082,11.441647597254004,0.11441647597254007,874
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,1,False,12,-2,0.06469999999999998,0.11999128114118329,0.2623,0.38630485908600676,10000.0,1392.63706686272,1119,1392.63706686272,1119,1119,38373.42566798909,0.139263706686272,8.936550491510275,0.08936550491510277,1119
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,1,False,13,-2,0.027599999999999958,0.05321273534138927,0.23519999999999996,0.33984003257405876,10000.0,1385.4912486190592,1271,1385.4912486190592,1271,1271,37938.02061418113,0.13854912486190593,7.8678206136900055,0.07867820613690008,1271
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,1,False,14,-2,0.014399999999999968,0.028339797809196404,0.24780000000000002,0.3555896787529564,10000.0,1380.1978119095827,1530,1380.1978119095827,1530,1530,36187.52506557386,0.13801978119095829,6.5359477124183005,0.065359477124183,1530
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,1,False,15,-2,0.010000000000000009,0.01947105735754576,0.23099999999999998,0.3317393455254137,10000.0,1186.2579820595518,1499,1186.2579820595518,1499,1499,34988.29648699857,0.11862579820595519,6.6711140760506975,0.06671114076050698,1499
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,1,False,16,-2,0.009499999999999953,0.020161034031478235,0.23160000000000003,0.33341373399631213,10000.0,1360.130140832119,1481,1360.130140832119,1481,1481,37042.48827029309,0.1360130140832119,6.752194463200539,0.0675219446320054,1481
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,1,False,17,-2,0.0018000000000000238,0.0039592867009107064,0.24,0.34048147329696365,10000.0,1128.424565489426,1555,1128.424565489426,1555,1555,34965.90003568855,0.11284245654894261,6.430868167202572,0.06430868167202572,1555
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,1,False,18,-2,0.0014999999999999458,0.003577440983547818,0.25029999999999997,0.35517278206771796,10000.0,1209.1592120146959,1594,1209.1592120146959,1594,1594,34596.534603388696,0.12091592120146957,6.273525721455457,0.06273525721455457,1594
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,1,False,19,-2,0.0010000000000000009,0.0022367588217440397,0.23650000000000004,0.3349925413358958,10000.0,1214.8967034279087,1595,1214.8967034279087,1595,1595,34586.56909541561,0.12148967034279087,6.269592476489029,0.06269592476489028,1595
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,1,False,20,-2,0.0017000000000000348,0.003880283918001222,0.23460000000000003,0.3331967197222356,10000.0,1122.2468534150587,1559,1122.2468534150587,1559,1559,34938.54393107349,0.11222468534150586,6.414368184733803,0.06414368184733803,1559
