model,rep,n_train_samples,n_test_samples,save_path,hidden_layer_dims,n_epochs,learning_rate,batch_size,verbose,early_stop_thresh,bias,init_prior_model,train_01_error,train_mse,test_01_error,test_mse,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,entropy,rows_mean_L2,cols_mean_L1,cols_mean_L2,n_parameters,depth,width
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,4,6000,0.01,32,0,0,True,True,0.68725,0.06985045470665427,0.6952,0.12889165018731333,999.0,707.6305533256743,3,3083.3005043297353,2,3,6209.137246963969,0.17690763833141857,249.75,7.901740314639554,3190,1,4
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,8,6000,0.01,32,0,0,True,True,0.4105,0.04327906000250777,0.46030000000000004,0.2658636954275755,2691.0000000000005,1239.5971119682395,21,1932.5330527574424,5,21,16997.510053187096,0.3025678642883279,336.375,7.490619133289317,6370,1,8
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,16,6000,0.01,32,0,0,True,True,0.20699999999999996,0.024293873434354334,0.3096,0.4451665958006534,3924.0,1542.068091881808,60,1303.9846624864879,8,60,24973.4057247006,0.3736564264133564,245.25,4.7909419741842,12730,1,16
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,32,6000,0.01,32,0,0,True,True,0.01824999999999999,0.006553858397542659,0.20679999999999998,1.4380142739874515,5522.0,1806.5497502144806,254,857.2782512113555,18,254,34575.51272573503,0.4318661540338627,172.5625,3.1502108064381975,25450,1,32
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,38,6000,0.01,32,0,0,True,True,0.018000000000000016,0.005725827511148154,0.22829999999999995,1.7790471188384913,5406.000000000002,1726.3151508342849,253,866.4756199686175,21,253,33414.67330234012,0.41587257663856614,142.26315789473682,2.582435879020441,30220,1,38
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,40,6000,0.01,32,0,0,True,True,0.017000000000000015,0.00504894637298741,0.244,1.9791493577472352,5432.0,1683.097145146411,274,850.26701688352,22,274,33239.97261463432,0.40593395398759147,135.8,2.4644979204698068,31810,1,40
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,42,6000,0.01,32,0,0,True,True,0.016750000000000043,0.004675722726778299,0.25560000000000005,2.1561119578255115,5385.0,1652.693256475623,280,848.746134011814,24,280,32776.529485994375,0.3998597410342782,128.21428571428572,2.323960767911896,33400,1,42
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,44,6000,0.01,32,0,0,True,True,0.016249999999999987,0.004330177646156766,0.26259999999999994,2.343811810439754,5331.0,1609.0292104247205,279,847.365328533095,24,279,32205.13517602068,0.39026905783062027,121.15909090909089,2.1949180598045563,34990,1,44
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,46,6000,0.01,32,0,0,True,True,0.016249999999999987,0.0041381659404679414,0.2703,2.4707717316541578,5254.000000000001,1579.3118754698198,286,852.4541043364153,24,286,31608.214527227163,0.383790144480027,114.21739130434781,2.068989689796431,36580,1,46
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,48,6000,0.01,32,0,0,True,True,0.015750000000000042,0.003929462280794736,0.27470000000000006,2.5751467058610427,5260.000000000001,1557.8260493392709,295,844.6916597196873,24,295,31439.911994566974,0.37870684572634805,109.58333333333333,1.987810073646094,38170,1,48
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,50,6000,0.01,32,0,0,True,True,0.015000000000000013,0.0037003060994438585,0.27669999999999995,2.7697292188766425,5216.000000000001,1535.856113052261,293,854.6133628723576,25,293,31039.24681095212,0.37376530069015235,104.32,1.8933568073662186,39760,1,50
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,51,6000,0.01,32,0,0,True,True,0.005499999999999949,0.0023121545405517105,0.11480000000000001,0.7207481327548805,16061.999999999998,6085.403684226708,1267,431.03828136257226,44,1267,113263.38350732284,1.0522345864872529,314.9411764705883,5.495305745492923,40555,1,51
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,52,6000,0.01,32,0,0,True,True,0.008000000000000007,0.0025149911531798562,0.11280000000000001,0.629272005224106,12026.000000000002,3532.636692330532,1264,480.85340801537427,46,1264,77137.95418198571,0.6207264896876885,231.26923076923077,4.355758617748999,41350,1,52
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,54,6000,0.01,32,0,0,True,True,0.006000000000000005,0.0019477264462982695,0.09999999999999998,0.6620407095767731,19547.999999999996,6210.152977181802,1879,321.78564293641193,50,1879,136254.62039773964,0.9207298735242601,362.0,6.444444444444444,42940,1,54
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,56,6000,0.01,32,0,0,True,True,0.004750000000000032,0.001647378583158567,0.1038,0.5923885357050794,21142.0,6532.799093803514,2374,288.9532834213863,55,2374,145743.27936762047,0.9846540636182842,377.5357142857143,6.820026033824271,44530,1,56
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,58,6000,0.01,32,0,0,True,True,0.004750000000000032,0.0018704314612077173,0.10370000000000001,0.8948632865097259,21514.0,6949.2570825952325,2300,263.9848480500349,56,2300,149982.21734754054,1.0613552656862828,370.9310344827586,6.554718009246257,46120,1,58
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,60,6000,0.01,32,0,0,True,True,0.006249999999999978,0.0022732016581811488,0.1129,0.40667958767320755,18147.999999999996,6300.128887570474,1952,346.4274815888601,52,1952,126146.63364665903,0.9682783690654253,302.4666666666667,5.460667439872977,47710,1,60
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,62,6000,0.01,32,0,0,True,True,0.0034999999999999476,0.001879969987707389,0.10229999999999995,0.5609233862402254,23832.0,8050.607182070182,2495,205.0219500443794,60,2495,169248.2683109125,1.1512548045502349,384.3870967741935,6.686724076569233,49300,1,62
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,64,6000,0.01,32,0,0,True,True,0.007000000000000006,0.0019685848257153817,0.09909999999999997,0.4877231738671347,22485.0,7134.356803524756,2215,312.0032051117424,61,2215,158548.43705131608,1.0325843488548527,351.328125,6.10153749194619,50890,1,64
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,128,6000,0.01,32,0,0,True,True,0.00024999999999997247,0.000981753507666938,0.07489999999999997,0.4384068323122265,80816.0,26946.875291951754,3967,63.90618123468183,128,3967,634357.7501188399,2.4233841007978905,631.375,10.565377289317453,101770,1,128
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,256,6000,0.01,32,0,0,True,True,0.0,0.000511987759058909,0.06320000000000003,0.4850874069382174,214040.00000000006,81683.88189845043,4000,63.245553203367585,256,0,1848154.153930849,4.400559311042177,836.09375,13.600601048371102,203530,1,256
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,512,6000,0.01,32,0,0,True,True,0.0,0.00012084178255381068,0.05600000000000005,0.24721116050268202,650477.0000000001,314337.4678605781,4000,63.245553203367585,512,0,6509803.192450576,8.79735545846023,1270.462890625,20.22215532401248,407050,1,512
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,1024,6000,0.01,32,0,0,True,True,0.0,2.548635284710817e-05,0.054400000000000004,0.17962305075566662,1472378.0000000002,735501.0911195171,4000,63.245553203367585,1024,0,15789443.557387283,13.493807223130172,1437.869140625,22.795598915366938,814090,1,1024
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,4,6000,0.01,32,0,0,True,True,0.78525,0.08047250297219206,0.7907,0.13702552706092708,1595.0,1595.0,2,2885.8361006820883,1,2,11762.533279274217,0.39875,398.75,9.98436277385793,3190,1,4
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,8,6000,0.01,32,0,0,True,True,0.58775,0.0613174512604314,0.6129,0.22291789621516678,2512.0,1809.7834124557553,8,2352.9819378822267,3,8,17562.19560354971,0.41273856737649317,314.0,7.584935728139032,6370,1,8
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,16,6000,0.01,32,0,0,True,True,0.21275,0.02491144214345708,0.31579999999999997,0.5012336492544404,4318.0,1883.1064760124423,60,1303.5643444034513,7,60,28343.801251729423,0.4249970588133522,269.875,5.300353761778547,12730,1,16
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,32,6000,0.01,32,0,0,True,True,0.019750000000000045,0.005293619432872412,0.1643,0.6071922616206373,5807.000000000001,1847.0449371902137,303,842.2541184227002,23,303,36187.62411353626,0.4426713651231577,181.46875,3.2214794252796337,25450,1,32
