model,rep,n_train_samples,n_test_samples,recurse_level,cov_scale,onehot,n_neighbors,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2
knn,0,200,8192,0,1.0,True,1,-2,0.0,0.0,0.337158203125,0.47681370352471786,200.0,0.9999999999999998,0.07071067811865477,200,14.142135623730951,0,0,-5.298317366548037,0.07071067811865477,0.9999999999999998,0.07071067811865477
knn,0,200,8192,0,1.0,True,3,-2,0.18999999999999995,0.3606244584051393,0.3170166015625,0.4910271943249357,200.0,3.0000000000000004,0.3412477106150311,146,18.16590212458495,0,146,-10.296207044945373,0.22726636354727023,3.000000000000001,0.21213203435596426
knn,0,200,8192,0,1.0,True,5,-2,0.22999999999999998,0.4384062043356595,0.3035888671875,0.49846194335889593,200.0,4.999999999999999,0.6764244229771718,154,18.110770276274835,0,154,-13.219931138203838,0.3699324262618783,5.0,0.35355339059327384
knn,0,200,8192,0,1.0,True,7,-2,0.25,0.4535584925039426,0.30029296875,0.5032266277243129,200.0,6.999999999999999,1.0616967551989598,163,17.378147196982766,0,163,-15.069754113633435,0.5138093031466052,7.000000000000003,0.49497474683058335
knn,0,200,8192,0,1.0,True,9,-2,0.24,0.48554665641476263,0.2960205078125,0.5078877319948298,200.0,9.0,1.5265320173517491,165,16.792855623746664,8,165,-15.506862939065012,0.6643041472096949,9.0,0.6363961030678926
knn,0,200,8192,0,1.0,True,11,-2,0.245,0.4917606250979171,0.29345703125,0.5135532493068047,200.0,11.000000000000004,2.0374371155940008,174,16.30950643030009,15,174,-15.285052738619063,0.8145244011077876,11.000000000000004,0.7778174593052023
knn,0,200,8192,0,1.0,True,13,-2,0.26,0.5025897429356693,0.2957763671875,0.521857765307034,200.0,13.0,2.588281283013884,181,15.620499351813308,15,181,-14.523512097372441,0.9621850133939938,12.999999999999996,0.9192388155425117
knn,0,200,8192,0,1.0,True,15,-2,0.26,0.5020458146424488,0.2913818359375,0.527268718640633,200.0,15.000000000000002,3.1922875810302553,179,15.748015748023622,16,179,-13.004725112091418,1.111125555461668,14.999999999999996,1.0606601717798212
knn,0,200,8192,0,1.0,True,17,-2,0.29000000000000004,0.5124444437775451,0.29248046875,0.53193456186974,200.0,17.0,3.8263559688037394,183,15.427248620541512,16,183,-11.097413852065287,1.2592855117089214,16.999999999999996,1.2020815280171306
knn,0,200,8192,0,1.0,True,19,-2,0.29000000000000004,0.5236311795418276,0.294677734375,0.5378987015962274,200.0,19.0,4.494952725001677,191,14.89966442575134,16,191,-8.851801125879486,1.4076221083799445,19.0,1.3435028842544405
knn,0,200,8192,0,1.0,True,21,-2,0.29000000000000004,0.5293199333453584,0.2899169921875,0.5433433628920766,200.0,21.0,5.223432779312852,191,14.832396974191326,15,191,-5.967170141718224,1.5583484847748272,21.0,1.4849242404917495
knn,0,200,8192,0,1.0,True,23,-2,0.27,0.5370937159708254,0.2926025390625,0.5499952923130249,200.0,23.0,5.996144594654136,191,14.832396974191326,14,191,-2.6880343840454963,1.7118557182192664,23.0,1.6263455967290592
knn,0,200,8192,0,1.0,True,25,-2,0.275,0.5461692777884893,0.2928466796875,0.5552307407039604,200.0,25.0,6.805339815174551,188,15.0996688705415,14,188,0.9801305932378761,1.8632632664226492,25.0,1.7677669529663689
knn,0,200,8192,0,1.0,True,27,-2,0.27,0.5494481581219914,0.2906494140625,0.5600805909251845,200.0,27.000000000000004,7.675815917542579,188,14.966629547095765,14,188,5.155179869166609,2.0187991480085383,27.0,1.909188309203678
knn,0,200,8192,0,1.0,True,29,-2,0.255,0.5552007381937133,0.293212890625,0.5645650931181891,200.0,28.999999999999993,8.587540392918102,189,14.89966442575134,12,189,9.743140295922133,2.173695010805334,29.0,2.0506096654409873
knn,0,200,8192,0,1.0,True,31,-2,0.245,0.5599829509074111,0.29150390625,0.5688440609614689,200.0,30.999999999999996,9.535641037706903,188,15.033296378372908,12,188,14.556287633043937,2.3284866329871856,31.0,2.1920310216782974
knn,0,200,8192,0,1.0,True,33,-2,0.27,0.570613744939326,0.2918701171875,0.573064722013201,200.0,32.99999999999999,10.516857895778568,196,14.422205101855956,11,196,19.52431967910928,2.4842302630794917,33.0,2.333452377915607
knn,0,200,8192,0,1.0,True,35,-2,0.28,0.5745747673412975,0.2894287109375,0.5775231500807092,200.0,35.0,11.531415784716119,194,14.560219778561036,11,194,24.918856092350325,2.637451421353576,35.0,2.4748737341529163
knn,0,200,8192,0,1.0,True,37,-2,0.265,0.5775342412826343,0.285888671875,0.5812009766421075,200.0,37.00000000000001,12.556731262553965,191,14.7648230602334,11,191,30.42905005280234,2.7873643464749995,37.0,2.616295090390226
knn,0,200,8192,0,1.0,True,39,-2,0.26,0.5796462511418956,0.2867431640625,0.5852098301879802,200.0,39.00000000000001,13.63481573032801,187,15.033296378372908,10,187,36.239564329119396,2.9397789032510593,39.0,2.7577164466275352
knn,0,200,8192,0,1.0,True,41,-2,0.275,0.5839667222189391,0.2852783203125,0.589092842167537,200.0,41.0,14.726114558837304,190,14.89966442575134,10,190,42.18765622564393,3.09219177930477,41.00000000000001,2.8991378028648445
knn,0,200,8192,0,1.0,True,43,-2,0.265,0.587227515259805,0.285888671875,0.5928876455309036,200.0,42.99999999999999,15.886105564297376,193,14.628738838327793,10,193,48.48561963278582,3.247052509584654,43.0,3.040559159102154
knn,0,200,8192,0,1.0,True,45,-2,0.275,0.5928697523148542,0.288330078125,0.5974614962847857,200.0,45.00000000000001,17.07415005205237,191,14.7648230602334,11,191,54.96858924322261,3.403468818720101,45.000000000000014,3.1819805153394642
knn,0,200,8192,0,1.0,True,47,-2,0.265,0.5984831437361885,0.2860107421875,0.602086849505999,200.0,47.0,18.26653086932491,193,14.628738838327793,11,193,61.52475116431138,3.557562367689427,46.999999999999986,3.3234018715767726
knn,0,200,8192,0,1.0,True,49,-2,0.265,0.5980103063749087,0.2869873046875,0.6062782527527455,200.0,48.99999999999999,19.48191084057208,196,14.422205101855956,12,196,68.26705819049745,3.7085104826601203,49.000000000000014,3.4648232278140827
knn,0,200,8192,0,1.0,True,51,-2,0.26,0.601872654339373,0.286865234375,0.6107028235799257,200.0,51.000000000000014,20.750551799891973,193,14.628738838327793,11,193,75.3903603416772,3.862835745925524,50.999999999999986,3.6062445840513924
knn,0,200,8192,0,1.0,True,53,-2,0.24,0.6066442517085343,0.2867431640625,0.6152820498866601,200.0,53.0,22.052505526583598,192,14.696938456699069,11,192,82.6473023779192,4.018681375774895,53.000000000000014,3.7476659402887016
knn,0,200,8192,0,1.0,True,55,-2,0.255,0.611325953553097,0.2904052734375,0.6192457503849946,200.0,55.0,23.401948636812282,195,14.560219778561036,11,195,90.15898087410909,4.175871166595061,54.999999999999986,3.889087296526012
knn,0,200,8192,0,1.0,True,57,-2,0.26,0.6167955993086867,0.2899169921875,0.6229434110933758,200.0,57.000000000000014,24.76505501710021,190,14.966629547095765,13,190,97.88625817270498,4.330236714083885,57.00000000000001,4.030508652763321
knn,0,200,8192,0,1.0,True,59,-2,0.25,0.620096692518508,0.288818359375,0.6265776463885795,200.0,59.00000000000001,26.147766635030226,194,14.628738838327793,13,194,105.2896383827204,4.487794558577743,58.99999999999999,4.17193000900063
