model,rep,n_train_samples,n_test_samples,save_path,onehot,shuffle_label_frac,n_estimators,bootstrap,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,IRM_mean_dot_product,IRM_mean_sim_entropy,n_total_leaves,IRM_scaled_L0,IRM_scaled_L1,IRM_scaled_L2,mean_affine_mat_norm
forest,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.0,5,False,None,-2,0.0,0.0,0.2954,0.04779360000000037,825.0,1000.0000000000003,206.57240861257335,166,206.43643089338664,7,0,3.85795714606603,0.462190436941311,6.060606060606059,0.19165319152535634,8.54479999999997,3.0571812041707576,825,825.0,165.0,12.826541181381906,0.14126680950139242
forest,1,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.0,5,False,None,-2,0.0,0.0,0.30410000000000004,0.04881360000000032,825.0,1000.0000000000005,206.61422990684838,166,206.43643089338664,7,0,3.857170731101214,0.462190436941311,6.060606060606059,0.19165319152535634,8.544799999999974,3.056961913377559,825,825.0,165.0,12.832774672109064,0.14126680950139242
forest,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.0,5,False,None,-2,0.0,0.0,0.30169999999999997,0.048406400000000335,825.0,1000.0000000000005,206.5724086125734,166,206.43643089338664,7,0,3.857957146066035,0.462190436941311,6.060606060606059,0.19165319152535634,8.544799999999965,3.05718120417076,825,825.0,165.0,12.826541181381906,0.14126680950139242
forest,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.1,5,False,None,-2,0.0,0.0,0.44099999999999995,0.07307759999999988,1000.0,1000.0000000000013,181.72154522785678,232,181.00828710310475,4,0,4.212339392105351,0.4074849690479393,4.409171075837742,0.1394302319298227,6.641760000000001,2.7227540586795245,1134,1000.0,226.79999999999995,14.991975890237896,0.14126680950139242
forest,1,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.1,5,False,None,-2,0.0,0.0,0.43489999999999995,0.07152079999999993,1000.0,1000.0000000000017,183.64247874606787,233,182.64720090929399,6,0,4.250875042093419,0.4124196891517184,4.385964912280701,0.13869638860387629,6.803600000000007,2.697326102268921,1140,1000.0,228.0,15.047323031821843,0.14126680950139242
forest,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.1,5,False,None,-2,0.0,0.0,0.44610000000000005,0.07316079999999982,1000.0,1000.0000000000009,176.46393399219005,246,173.0028901492689,5,0,4.347641376972288,0.39975992795676757,4.277159965782721,0.13525567408761247,6.392320000000017,2.6549956525069693,1169,1000.0,233.79999999999998,15.183465609242447,0.14126680950139242
forest,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.2,5,False,None,-2,0.0,0.0,0.5417000000000001,0.08924559999999937,1000.0,1000.0000000000008,156.27616580912138,311,153.42750731208534,3,0,4.646727788228394,0.3532760959929217,3.4106412005457036,0.10785394475335534,4.992160000000011,2.343941902410165,1466,1000.0,293.2,16.964577406025732,0.14126680950139242
forest,1,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.2,5,False,None,-2,0.0,0.0,0.5608,0.09088639999999928,1000.0,1000.000000000001,149.0173144302366,307,146.23269128344728,2,0,4.687853623062661,0.3368590209568389,3.4482758620689653,0.1090440572471855,4.5389599999999835,2.304819109150382,1450,1000.0,290.0,16.87106790466084,0.14126680950139242
forest,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.2,5,False,None,-2,0.0,0.0,0.5468999999999999,0.09029279999999933,1000.0,1000.0000000000009,152.2973407515706,289,151.4661678395542,2,0,4.642557342558087,0.34182159089209097,3.6390101892285287,0.11507560626522487,4.673679999999989,2.3170469908500655,1374,1000.0,274.8,16.45080568992441,0.14126680950139242
forest,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.30000000000000004,5,False,None,-2,0.0,0.0,0.6234,0.10404639999999907,1000.0,1000.0000000000006,137.9101156550889,335,137.35355838128112,1,0,4.89997839728542,0.30916015267171804,3.0618493570116345,0.09682417820478809,3.823199999999985,2.036826551556944,1633,1000.0,326.6,18.003151936714726,0.14126680950139242
