model,rep,n_train_samples,n_test_samples,save_path,onehot,shuffle_label_frac,hidden_layer_dims,n_epochs,learning_rate,batch_size,verbose,early_stop_thresh,bias,init_prior_model,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,IRM_mean_dot_product,IRM_mean_sim_entropy,n_parameters,depth,width,weights_L2,mean_affine_mat_norm
relu_regressor,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.0,256,6000,0.01,32,0,None,True,True,0.0,6.876121655748593e-05,0.12460000000000004,1.3870375368918506,256.0,317.42578125000006,145.09098113599904,1000,31.622776601683793,1,0,3.256957420465929,6.022836956119599,317.42578125,10.110150031873523,0.5535059356689449,6.888577431214035,203530,1,256,19.886383,0.670506742366151
relu_regressor,1,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.0,256,6000,0.01,32,0,None,True,True,0.0,9.63059688345309e-05,0.12429999999999997,1.1672495568540036,256.0,246.15625000000003,93.61308703753586,1000,31.622776601683793,1,0,3.611113544143131,4.773805400306971,246.15625,7.93698478888945,0.3477358703613279,6.868940732761889,203530,1,256,19.87776,0.5827514333219768
relu_regressor,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.0,256,6000,0.01,32,0,None,True,True,0.0,8.108511694711944e-05,0.13060000000000005,1.1222761874107676,256.0,289.421875,128.04563590957827,1000,31.622776601683793,1,0,3.328006400791489,5.656673757607027,289.421875,9.230638190097388,0.48825009155273386,6.8875172383841,203530,1,256,19.885004,0.6426829153812456
relu_regressor,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.1,256,6000,0.01,32,0,None,True,True,0.0,0.0001326864890709369,0.2623,1.4872126255390044,256.0,321.375,150.03044704420233,1000,31.622776601683793,1,0,3.2350786778245095,6.13550046858445,321.375,10.241984885486369,0.5744074401855469,6.8920010153176685,203530,1,256,20.0937,0.8952965529291053
relu_regressor,1,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.1,256,6000,0.01,32,0,None,True,True,0.0,0.00016820833194186106,0.2632,1.7999659567232567,256.0,272.25390624999994,108.40418066148412,1000,31.622776601683793,1,0,3.5434341618180234,5.177508957017844,272.25390625,8.705339954624744,0.4090362396240228,6.879438093389805,203530,1,256,20.141874,0.7851743069105578
relu_regressor,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.1,256,6000,0.01,32,0,None,True,True,0.0,0.0001749056193409262,0.25880000000000003,1.6129613834765415,256.0,321.53515624999994,147.9594977864871,1000,31.622776601683793,1,0,3.2720293229086383,6.086502033187863,321.53515625,10.233889689113584,0.5652695770263673,6.890137406814506,203530,1,256,20.115105,0.9074095209153699
relu_regressor,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.2,256,6000,0.01,32,0,None,True,True,0.0,0.00016975474449792453,0.39070000000000005,1.8839661471216183,256.0,320.27343750000006,147.3632330496111,1000,31.622776601683793,1,0,3.2702862141523448,6.083369132314757,320.2734375,10.185178152781926,0.5646878051757811,6.891629068361906,203530,1,256,20.32859,1.027263226105346
relu_regressor,1,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.2,256,6000,0.01,32,0,None,True,True,0.0,0.00015131171777377136,0.40700000000000003,2.365358307549501,256.0,362.6445312500001,180.29558736994434,1000,31.622776601683793,1,0,3.104957611681025,6.749382564353572,362.64453125,11.505313475050547,0.6951013946533201,6.896613249610901,203530,1,256,20.321484,1.1302190927955384
relu_regressor,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.2,256,6000,0.01,32,0,None,True,True,0.0,0.00025088189460848966,0.3852,2.403956880468049,256.0,272.36328125,109.65560496312581,1000,31.622776601683793,1,0,3.55200689201177,5.22015277554211,272.36328125,8.700069418443865,0.41580192565917895,6.883382495211088,203530,1,256,20.374846,0.9428751627638295
relu_regressor,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.30000000000000004,256,6000,0.01,32,0,None,True,True,0.0,0.000267568926413733,0.5172,1.961488566017318,256.0,290.14453124999994,118.97103433141903,1000,31.622776601683793,1,0,3.5078883358275563,5.434239137174587,290.14453125,9.260926263016213,0.45060661315918005,6.8830959754363095,203530,1,256,20.483723,1.0411449209615777
relu_regressor,1,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.30000000000000004,256,6000,0.01,32,0,None,True,True,0.0,0.0001379280492826099,0.525,2.3831009178599762,256.0,313.265625,136.65963576924963,1000,31.622776601683793,1,0,3.3817595458563927,5.850875319129609,313.265625,9.958176700738193,0.5223501892089841,6.889246386021699,203530,1,256,20.464294,1.1206823987615824
relu_regressor,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.30000000000000004,256,6000,0.01,32,0,None,True,True,0.0,0.0001678632862445022,0.5097,2.4621967727183742,256.0,339.98828124999994,162.97764663478333,1000,31.622776601683793,1,0,3.1928161783884716,6.400439594277881,339.98828125,10.813821524415596,0.6250858612060539,6.893374945874555,203530,1,256,20.461143,1.152413808625779
relu_regressor,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.4,256,6000,0.01,32,0,None,True,True,0.0,0.00017543604865343323,0.6324000000000001,3.065678747198507,256.0,303.30078125,125.13506868839534,1000,31.622776601683793,1,0,3.499159700634078,5.581246366180228,303.30078125,9.675722900510376,0.4753160247802734,6.8852586727739435,203530,1,256,20.668219,1.1538382356191474
relu_regressor,1,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.4,256,6000,0.01,32,0,None,True,True,0.0,0.00019518353183333313,0.6295999999999999,2.2402035592733234,256.0,320.82812500000006,142.67594621610934,1000,31.622776601683793,1,0,3.3582209444966646,5.976833777176675,320.828125,10.216659285359622,0.5450827331542966,6.889991344015388,203530,1,256,20.572433,1.1889003060224337
relu_regressor,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.4,256,6000,0.01,32,0,None,True,True,0.0,0.0002266450323263479,0.63,2.979800535336043,256.0,277.8515625,106.78864798345734,1000,31.622776601683793,1,0,3.64492751192537,5.135686516912807,277.8515625,8.883111390090185,0.402454772949219,6.879181931542936,203530,1,256,20.633156,1.086400820999432
relu_regressor,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.5,256,6000,0.01,32,0,None,True,True,0.0,0.00022718094362318496,0.7166,3.05106685622047,256.0,324.40234375000006,141.12701609196063,1000,31.622776601683793,1,0,3.4142593839600597,5.9476569336168,324.40234375,10.324676907635915,0.5397739105224607,6.890345072856449,203530,1,256,20.672113,1.226151011316848
relu_regressor,1,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.5,256,6000,0.01,32,0,None,True,True,0.0,0.00021690348663038595,0.7131000000000001,2.2081321505329017,256.0,300.8984375,127.52387423920496,1000,31.622776601683793,1,0,3.4640747685764284,5.641214053729924,300.8984375,9.599768127184277,0.48558496093750003,6.887367309871349,203530,1,256,20.71427,1.2243778621796129
relu_regressor,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.5,256,6000,0.01,32,0,None,True,True,0.0,0.00017750594209624547,0.7172000000000001,2.305788850995601,256.0,311.25781250000006,133.27674789069667,1000,31.622776601683793,1,0,3.4421297054821736,5.7765037868939375,311.2578125,9.903420029034635,0.5091552124023432,6.8891650877684425,203530,1,256,20.68991,1.2383139440293944
relu_regressor,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.6000000000000001,256,6000,0.01,32,0,None,True,True,0.0,0.00016465310607686662,0.7834,2.582108388605451,256.0,328.33203125,147.79450181740881,1000,31.622776601683793,1,0,3.340966518604236,6.098107001357061,328.33203125,10.4281212248551,0.5674272003173837,6.893087167204179,203530,1,256,20.778515,1.3540429699534118
relu_regressor,1,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.6000000000000001,256,6000,0.01,32,0,None,True,True,0.0,0.00022914439308771434,0.7843,2.837331533689562,256.0,279.453125,110.95731130872501,1000,31.622776601683793,1,0,3.597478623120314,5.246892223021167,279.453125,8.939353910649457,0.4200726013183598,6.882891046946616,203530,1,256,20.850367,1.2443683050337655
relu_regressor,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.6000000000000001,256,6000,0.01,32,0,None,True,True,0.0,0.00018582920120188863,0.7856,2.101362199016138,256.0,330.8554687500001,148.22831142855256,1000,31.622776601683793,1,0,3.3468092194886965,6.091573934542698,330.85546875,10.529627825036792,0.5662120513916011,6.890379727645601,203530,1,256,20.757418,1.3097826591665123
relu_regressor,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.7000000000000001,256,6000,0.01,32,0,None,True,True,0.0,0.00024225950822844328,0.8455,2.8422173434222517,256.0,306.01953124999994,130.23921431330228,1000,31.622776601683793,1,0,3.470295079966411,5.70893781714252,306.01953125,9.75116351105528,0.4973140106201162,6.889328009421742,203530,1,256,20.8739,1.321848040828097
relu_regressor,1,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.7000000000000001,256,6000,0.01,32,0,None,True,True,0.0,0.00017867021628390997,0.8486,2.9588908228271475,256.0,334.1796875,147.93540514102187,1000,31.622776601683793,1,0,3.367389527263829,6.084405805006763,334.1796875,10.646975780085102,0.5648802795410159,6.889682566649365,203530,1,256,20.826788,1.3636428202471935
relu_regressor,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.7000000000000001,256,6000,0.01,32,0,None,True,True,0.0,0.00021681469399299335,0.8346,2.025242086304655,256.0,335.75000000000006,149.52200665739315,1000,31.622776601683793,1,0,3.3734521368088317,6.124999265306078,335.75,10.686113591088231,0.5724428710937511,6.891715465289857,203530,1,256,20.84798,1.3897362677787621
relu_regressor,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.8,256,6000,0.01,32,0,None,True,True,0.0,0.0002101589767676763,0.873,5.307132612126031,256.0,299.37109374999994,124.8967689578804,1000,31.622776601683793,1,0,3.5106779613922794,5.580516015567019,299.37109375,9.549640461010577,0.47519163513183593,6.887212147872831,203530,1,256,20.86932,1.329014262254099
relu_regressor,1,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.8,256,6000,0.01,32,0,None,True,True,0.0,0.00025771404443161256,0.8663,2.7160926046180203,256.0,338.1874999999999,154.83942537398696,1000,31.622776601683793,1,0,3.3124378943508845,6.240342458551454,338.1875,10.754186480411652,0.5942058410644524,6.893176543893624,203530,1,256,20.85392,1.4040940431073656
relu_regressor,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.8,256,6000,0.01,32,0,None,True,True,0.0,0.00023556023891527027,0.8732,2.662412548657106,256.0,303.6328125,124.10502950972365,1000,31.622776601683793,1,0,3.548547870497859,5.559016639658493,303.6328125,9.688322167732721,0.4715372619628894,6.885825213215113,203530,1,256,20.909538,1.3191276578125983
relu_regressor,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.9,256,6000,0.01,32,0,None,True,True,0.0,0.00021163740750307244,0.8966,3.2314403085722185,256.0,319.4375,140.14103004038913,1000,31.622776601683793,1,0,3.4111287757206528,5.932023263609137,319.4375,10.162513092895932,0.5369400024414064,6.891894104026955,203530,1,256,20.94756,1.378427742002907
relu_regressor,1,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.9,256,6000,0.01,32,0,None,True,True,0.0,0.0002396145261094076,0.8962,2.985457036702093,256.0,267.80859375000006,98.22239200103647,1000,31.622776601683793,1,0,3.7431680731093846,4.91828232211206,267.80859375,8.571531113510748,0.36910249328613226,6.876485662249899,203530,1,256,20.967966,1.1949411868286055
relu_regressor,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.9,256,6000,0.01,32,0,None,True,True,0.0,0.00015930716244475467,0.8961,2.622164678533802,256.0,258.57031250000006,92.61679605041697,1000,31.622776601683793,1,0,3.7813940499665906,4.768654527222537,258.5703125,8.292202368320945,0.34698587036132794,6.8747758020936445,203530,1,256,20.963705,1.2015043112426425
