model,rep,n_train_samples,n_test_samples,save_path,onehot,shuffle_label_frac,n_estimators,bootstrap,max_features,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,IRM_mean_dot_product,IRM_mean_sim_entropy,n_total_leaves,IRM_scaled_L0,IRM_scaled_L1,IRM_scaled_L2,mean_affine_mat_norm
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,2,-2,0.6879,0.07977755751417481,0.6965,0.08061652668110766,4.0,10000.0,5352.21729753193,4,5352.21729753193,4,4,1.3061243564717095,0.535221729753193,2500.0,25.0,2864.6229999998195,7.9042160155046455,4,4.0,4.0,1.9999999999999998,0.13878795691083418
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,4,-2,0.48019999999999996,0.06397647880905995,0.487,0.06437633910373276,16.0,10000.0,2955.6160102421964,16,2955.6160102421964,16,16,2.5393854486442144,0.29556160102421963,625.0,6.25,873.5666000000305,6.670954923331749,16,16.0,16.0,4.0,0.1852073270304502
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,5,-2,0.3963,0.05477427731293738,0.42100000000000004,0.05733010148121602,32.0,10000.0,2305.226236185941,32,2305.226236185941,32,32,3.143948630120332,0.2305226236185941,312.5,3.125,531.4068000000012,6.066391741855888,32,32.0,32.0,5.656854249492381,0.2106180169918758
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,6,-2,0.34530000000000005,0.04729517898629672,0.3519,0.04980695563623937,64.0,10000.0,2029.562514435069,64,2029.562514435069,64,64,3.6132161018727493,0.2029562514435069,156.25,1.5625,411.91240000000124,5.59712427010342,64,64.0,64.0,7.999999999999999,0.22655413196969718
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,8,-2,0.21930000000000005,0.03160539541671292,0.2771,0.041476817031310766,240.0,10000.0,1500.0359995680103,240,1500.0359995680103,12,0,4.526561470271388,0.15000359995680104,41.666666666666664,0.4166666666666667,225.01080000000567,4.68377890170486,240,240.0,240.0,15.49193338482967,0.26014960018363686
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,10,-2,0.17510000000000003,0.02450201341907606,0.27590000000000003,0.04190945345225004,519.0,10000.0,1481.3412841070758,519,1481.3412841070758,10,0,4.8164077517134265,0.14813412841070758,19.26782273603083,0.1926782273603083,219.43720000000323,4.393932620262579,519,519.0,519.0,22.781571499789035,0.27351425477492725
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,15,-2,0.011900000000000022,0.0018884329368984315,0.24229999999999996,0.04778829864424297,1472.0,10000.0,1204.3164036082876,1472,1204.3164036082876,8,0,5.6187670504132985,0.12043164036082878,6.793478260869563,0.06793478260869566,145.03780000000552,3.591573321562755,1472,1472.0,1472.0,38.36665218650176,0.313030912774864
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,25,-2,0.0,0.0,0.2369,0.04738,1628.0,10000.0,1246.815142673524,1628,1246.815142673524,7,0,5.717740518667119,0.12468151426735238,6.142506142506143,0.06142506142506142,155.4548000000044,3.492599853309,1628,1628.0,1628.0,40.34848200366403,0.31604792297371975
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,None,-2,0.0,0.0,0.23629999999999995,0.047259999999999996,1653.0,10000.0,1233.1642226402776,1653,1233.1642226402776,8,0,5.7308227401741965,0.12331642226402775,6.049606775559591,0.06049606775559589,152.06940000000543,3.479517631801949,1653,1653.0,1653.0,40.65710270051225,0.31604792297371975
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,2,False,sqrt,None,-2,0.0,0.0,0.24160000000000004,0.031120000000000002,3347.0,10000.000000000002,905.4170309862747,5071,662.1661422936089,2,0,6.461694950665993,0.15499006419767689,5.975500448162534,0.05975500448162534,60.05480000000024,4.203035745535491,3347,3347.0,1673.5000000000014,33.30475245669717,0.22347962951464093
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,3,False,sqrt,None,-2,0.0,0.0,0.17049999999999998,0.02546888888888889,4955.0,10000.000000000005,806.702340808967,6904,441.6854084073867,4,0,6.700671912303409,0.1866380990044637,6.05449041372351,0.060544904137235116,38.704199999999744,4.691446451329029,4955,4955.0,1651.666666666667,30.28025475430698,0.18247035340569923
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,4,False,sqrt,None,-2,0.0,0.0,0.1341,0.02198,6505.0,10000.000000000005,832.8848960090461,7683,427.1838011910096,3,0,6.824946066393169,0.2253074344090758,6.1491160645657175,0.061491160645657184,31.72715000000012,4.952284160167075,6505,6505.0,1626.2500000000045,28.49861152007595,0.15802396148685988
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,5,False,sqrt,None,-2,0.0,0.0,0.1139,0.02023919999999989,8079.0,10000.000000000013,792.6953008565146,8408,431.5112976504787,4,0,6.9448453707611995,0.24682475564659231,6.1888847629657135,0.06188884762965714,24.368983999999898,5.164901718225202,8079,8079.0,1615.8000000000013,27.489112644954474,0.141340927983371
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,10,False,sqrt,None,-2,0.0,0.0,0.07730000000000004,0.01678039999999985,10000.0,10000.000000000016,701.4080980427872,9405,130.97327971765844,3,0,7.334936979838101,0.3463480907988378,6.156119182467374,0.061561191824673726,11.995700000000033,5.594428519636501,16244,10000.0,1624.4000000000076,25.39189159169044,0.09994312863624108
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,15,False,sqrt,None,-2,0.0,0.0,0.0625,0.01561777777777747,10000.0,10000.000000000015,717.5881331856662,9621,127.53038853543887,2,0,7.495483088436813,0.4316814103016251,6.1337149867102845,0.06133714986710285,8.282170666666666,5.807730101193266,24455,10000.0,1630.3333333333453,24.681862702591335,0.08160322281871074
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,None,-2,0.0,0.0,0.06059999999999999,0.01511849999999972,10000.0,10000.00000000002,665.3469132715654,9893,102.1077861869505,3,0,7.592323321574972,0.49036045925421023,6.181042741910559,0.0618104274191056,6.011334499999996,5.907594307327119,32357,10000.0,1617.8500000000056,24.305001612853605,0.0706704639916855
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,2,-2,0.7061999999999999,0.08164335141036015,0.7249,0.08290311162721513,4.0,10000.0,5428.302312878309,4,5428.302312878309,4,4,1.2903988125869255,0.5428302312878309,2500.0,25.0,2946.64659999998,7.919941559389269,4,4.0,4.0,1.9999999999999998,0.13285352811932633
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,4,-2,0.48619999999999997,0.06613938781679626,0.48650000000000004,0.06705281165247742,16.0,10000.0,2958.7128958383237,16,2958.7128958383237,16,16,2.53850215794015,0.29587128958383235,625.0,6.25,875.3982000000584,6.671838214035674,16,16.0,16.0,4.0,0.1801602809578982
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,5,-2,0.4224,0.05511949437807736,0.43679999999999997,0.05691670601105514,32.0,10000.0,2375.616130606963,32,2375.616130606963,32,32,3.1259759197203243,0.23756161306069631,312.5,3.125,564.3552000000233,6.084364452255877,32,32.0,32.0,5.656854249492381,0.20742538007697356
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,6,-2,0.3208,0.04442874070040546,0.3409,0.046940360638881885,64.0,10000.0,1889.7645355969617,64,1889.7645355969617,46,64,3.5869809893520497,0.18897645355969614,156.25,1.5625,357.12099999998765,5.623359382623822,64,64.0,64.0,7.999999999999999,0.2331978473866506
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,8,-2,0.24480000000000002,0.03339565628695384,0.30810000000000004,0.04263826153525057,236.0,10000.0,1625.0083076710716,236,1625.0083076710716,12,0,4.403682162977182,0.16250083076710717,42.372881355932215,0.42372881355932207,264.0651999999916,4.806658208998905,236,236.0,236.0,15.362291495737217,0.2562705746076383
