model,rep,n_train_samples,n_test_samples,save_path,onehot,shuffle_label_frac,n_estimators,bootstrap,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,IRM_mean_dot_product,IRM_mean_sim_entropy,n_total_leaves,IRM_scaled_L0,IRM_scaled_L1,IRM_scaled_L2,mean_polytope_norm
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,1,-2,0.8,0.08592792158858822,0.8016,0.08582337058305214,2.0,10000.0,7506.733510655617,2,7506.733510655617,2,2,0.6282188093244804,0.7506733510655617,5000.0,50.0,5635.104800000073,8.5821215626522,2,2.0,1.9999999999999998,1.414213562373095,0.37257907673446805
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,2,-2,0.6628000000000001,0.07766587465692604,0.6637,0.07844457584424143,4.0,10000.0,5343.591863157215,4,5343.591863157215,4,4,1.3156017864888971,0.5343591863157215,2500.0,25.0,2855.397400000246,7.894738585487471,4,4.0,4.0,2.0,0.4663674570031131
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,3,-2,0.5202,0.0669290419406124,0.5186,0.06745698167865448,8.0,10000.0,4038.2548210829887,8,4038.2548210829887,8,8,1.9248957630511798,0.4038254821082989,1250.0,12.5,1630.7502000000156,7.285444608924724,8,8.0,7.999999999999999,2.82842712474619,0.5636278747536778
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,4,-2,0.3881,0.055636318485140016,0.389,0.05621063109200034,16.0,10000.0,3012.6088362082455,16,3012.6088362082455,16,16,2.5298947467739135,0.30126088362082454,625.0,6.25,907.5811999999577,6.680445625202294,16,16.0,16.0,4.0,0.6528077301357808
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,5,-2,0.29000000000000004,0.043635012964894394,0.3003,0.0453554036961024,32.0,10000.0,2516.5456483044372,32,2516.5456483044372,32,32,3.0167450428947458,0.2516545648304437,312.5,3.125,633.3001999999661,6.193595329081565,32,32.0,32.0,5.656854249492381,0.7370819083092395
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,6,-2,0.23019999999999996,0.033862208711164556,0.25849999999999995,0.03816434728652187,64.0,10000.0,2187.568513212786,64,2187.568513212786,64,64,3.4627848167680204,0.21875685132127862,156.25,1.5625,478.5455999999861,5.747555555208081,64,64.0,64.0,7.999999999999999,0.7960024587214661
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,7,-2,0.1733,0.025800797544190346,0.2218,0.03378308511681386,125.0,10000.0,2045.7560949438719,125,2045.7560949438719,16,0,3.779000876834964,0.2045756094943872,80.00000000000003,0.8,418.5118000000104,5.431339495141344,125,125.0,125.0,11.180339887498949,0.8454114271739258
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,8,-2,0.1301,0.019154855553667444,0.20289999999999997,0.032307013061298726,227.0,10000.0,1933.8283274375726,227,1933.8283274375726,13,0,4.052528691407665,0.19338283274375728,44.05286343612335,0.44052863436123346,373.969199999982,5.157811680568492,227,227.0,227.0,15.066519173319364,0.8859142364584545
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,9,-2,0.09009999999999996,0.013256631543435963,0.19299999999999995,0.03248213149890722,369.0,10000.0,1896.5658438345872,369,1896.5658438345872,12,0,4.23958840876075,0.18965658438345873,27.10027100271003,0.27100271002710025,359.6962000000022,4.970751963215257,369,369.0,369.0,19.209372712298546,0.9217492431682583
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,10,-2,0.05940000000000001,0.008662722425583826,0.1895,0.03369656469191042,519.0,10000.0,1873.8068203526211,519,1873.8068203526211,12,0,4.3704891824066765,0.18738068203526212,19.26782273603083,0.1926782273603083,351.1152000000041,4.839851189569445,519,519.0,519.0,22.781571499789035,0.9496891196709075
