model,rep,n_train_samples,n_test_samples,save_path,onehot,shuffle_label_frac,n_estimators,bootstrap,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,IRM_mean_dot_product,IRM_mean_sim_entropy,n_total_leaves,IRM_scaled_L0,IRM_scaled_L1,IRM_scaled_L2,mean_affine_mat_norm
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,1,-2,0.8,0.08592792158858802,0.8016,0.08582337058305214,2.0,10000.0,7506.733510655617,2,7506.733510655617,2,2,0.6282188093244804,0.7506733510655617,5000.0,50.0,5635.104800000087,8.582121562652198,2,2.0,1.9999999999999993,1.4142135623730945,0.11600284553409605
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,2,-2,0.6628000000000001,0.07766587465692601,0.6637,0.07844457584424133,4.0,10000.0,5343.591863157215,4,5343.591863157215,4,4,1.3156017864888971,0.5343591863157215,2500.0,25.0,2855.397400000255,7.894738585487479,4,4.0,3.9999999999999996,1.9999999999999998,0.14405990766610874
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,3,-2,0.5202,0.06692904194061242,0.5186,0.06745698167865428,8.0,10000.0,4038.2548210829887,8,4038.2548210829887,8,8,1.9248957630511798,0.4038254821082989,1250.0,12.5,1630.7502000000186,7.285444608924763,8,8.0,7.999999999999998,2.82842712474619,0.17546520651886932
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,4,-2,0.3881,0.05563631848513998,0.389,0.05621063109200029,16.0,10000.0,3012.6088362082455,16,3012.6088362082455,16,16,2.5298947467739135,0.30126088362082454,625.0,6.25,907.5811999999559,6.680445625202269,16,16.0,16.0,4.0,0.20584006209942288
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,5,-2,0.29000000000000004,0.04363501296489435,0.3003,0.04535540369610238,32.0,10000.0,2516.5456483044372,32,2516.5456483044372,32,32,3.0167450428947458,0.2516545648304437,312.5,3.125,633.3001999999683,6.193595329081565,32,32.0,32.0,5.656854249492381,0.23514503269101633
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,6,-2,0.23019999999999996,0.03386220871116451,0.2583,0.0381278879739607,64.0,10000.0,2187.568513212786,64,2187.568513212786,64,64,3.4627848167680204,0.21875685132127862,156.25,1.5625,478.5455999999861,5.747555555208091,64,64.0,64.0,7.999999999999999,0.25580072485554955
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,7,-2,0.1733,0.02580079754419042,0.2228,0.03396944692865303,125.0,10000.0,2045.7560949438719,125,2045.7560949438719,16,0,3.779000876834964,0.2045756094943872,80.00000000000003,0.8,418.5118000000099,5.431339495141342,125,125.0,125.0,11.180339887498949,0.2714657580684622
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,8,-2,0.1301,0.019154855553667437,0.20279999999999998,0.03224936362500595,227.0,10000.0,1933.8283274375726,227,1933.8283274375726,13,0,4.052528691407665,0.19338283274375728,44.05286343612335,0.44052863436123346,373.9691999999815,5.157811680568498,227,227.0,227.0,15.066519173319364,0.2837548102516012
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,9,-2,0.09009999999999996,0.01325663154343595,0.1936,0.03259107456684766,369.0,10000.0,1896.5658438345872,369,1896.5658438345872,12,0,4.23958840876075,0.18965658438345873,27.10027100271003,0.27100271002710025,359.6962000000035,4.970751963215266,369,369.0,369.0,19.20937271229855,0.29416954466858636
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,10,-2,0.059599999999999986,0.008666961741823156,0.18679999999999997,0.03321879408321572,519.0,10000.0,1873.8148254296634,519,1873.8148254296634,12,0,4.370380437615823,0.18738148254296635,19.26782273603083,0.1926782273603083,351.1182000000023,4.839959934360306,519,519.0,519.0,22.781571499789035,0.3019469262574904
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,11,-2,0.036699999999999955,0.0054655152080221175,0.1895,0.03554323014232748,650.0,10000.0,1860.3322283936275,650,1860.3322283936275,12,0,4.455793327465514,0.18603322283936277,15.384615384615383,0.15384615384615385,346.08360000000516,4.754547044510666,650,650.0,650.0,25.495097567963928,0.3072548509006205
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,12,-2,0.022199999999999998,0.0034358885090847225,0.18899999999999995,0.03653716290451804,754.0,10000.0,1851.66141613417,754,1851.66141613417,11,0,4.510319079834069,0.18516614161341702,13.26259946949602,0.1326259946949602,342.86500000000666,4.700021292141791,754,754.0,754.0,27.459060435491963,0.31055968868678996
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,13,-2,0.013000000000000012,0.0021918633987728425,0.1904,0.037396360047978174,829.0,10000.0,1845.0907836743427,829,1845.0907836743427,12,0,4.539100854860703,0.18450907836743427,12.0627261761158,0.12062726176115801,340.4359999999826,4.671239517115557,829,829.0,829.0,28.79236009777594,0.31255605284744103
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,14,-2,0.008600000000000052,0.0014857834777616513,0.18969999999999998,0.03757047567496545,867.0,10000.0,1833.951471549888,867,1833.951471549888,12,0,4.568284696284426,0.1833951471549888,11.53402537485582,0.11534025374855826,336.3378000000133,4.64205567569182,867,867.0,867.0,29.444863728670917,0.31368113066320025
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,15,-2,0.006000000000000005,0.0010572665878965004,0.18930000000000002,0.037519077741887,893.0,10000.0,1826.9871373384105,893,1826.9871373384105,12,0,4.587651038209597,0.18269871373384106,11.198208286674133,0.11198208286674133,333.7881999999966,4.622689333766453,893,893.0,893.0,29.883105594967873,0.31436554099029856
