model,rep,n_train_samples,n_test_samples,save_path,onehot,shuffle_label_frac,hidden_layer_dims,n_epochs,learning_rate,batch_size,verbose,early_stop_thresh,bias,init_prior_model,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,IRM_mean_dot_product,IRM_mean_sim_entropy,n_parameters,depth,width,total_epochs,weights_L2,mean_affine_mat_norm,kernel_trace,head_norm,OLS_norm
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,4,0,0.01,32,0,None,True,True,0.9345,0.2465731635589858,0.9381,0.34042746061079676,4.0,1716.5000000000002,1105.7924194893003,16,1111.1777535570086,4,16,1.1057739353467197,0.8619575105537396,1716.5,31.90219428189854,185.7426874999998,6.720978449727224,3190,1,4,0,2.8389401,53.486126,0.7767666,1.4237553,0.5834756053682233
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,4,10,0.01,32,0,None,True,True,0.79875,0.08298552175967332,0.8107,0.15120017613604025,1.0,311.25,311.25,2,3023.2515608199064,1,2,0.0,0.31125,311.25,8.821139382188676,24.219140624999334,2.2182447642697265,3190,1,4,10,2.8348086,14.936015,0.7254119,1.2759345,0.23602161406931849
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,4,40,0.01,32,0,None,True,True,0.79375,0.08125765823406063,0.8095,0.15054666457711502,1.0,297.25,297.25,2,3052.1209019303283,1,2,0.0,0.29725,297.25,8.620469824783333,22.089390625000217,2.1047879822913105,3190,1,4,50,2.826745,19.06337,0.71172434,1.1958264,0.21675733420382354
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,4,50,0.01,32,0,None,True,True,0.793,0.08094993532277457,0.8110999999999999,0.15133654287888082,1.0,296.5,296.5,2,3053.717734172561,1,2,0.0,0.2965,296.5,8.609587678861281,21.97806249999979,2.0987282783388497,3190,1,4,100,2.8261328,20.014772,0.7106697,1.1983947,0.21866651869943837
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,4,100,0.01,32,0,None,True,True,0.792,0.08074301774670263,0.8116,0.15291624349895827,1.0,293.0,293.0,2,3061.2363515416446,1,2,0.0,0.293,293.0,8.558621384311845,21.46225000000037,2.070474822250164,3190,1,4,200,2.8297148,20.58097,0.71120256,1.2145783,0.22374121388877324
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,4,300,0.01,32,0,None,True,True,0.78575,0.0803858914336554,0.7948999999999999,0.158390163849298,1.0,278.0,278.0,2,3094.687060108017,1,2,0.0,0.278,278.0,8.336666000266533,19.32100000000007,1.9498685019972921,3190,1,4,500,2.8541143,20.416656,0.7116863,1.2216036,0.23140039146261343
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,4,500,0.01,32,0,None,True,True,0.7845,0.08004299110235322,0.7948,0.1649694667987977,1.0,256.25,256.25,2,3146.6251762801367,1,2,0.0,0.25625,256.25,8.00390529679106,16.416015624999787,1.7764397722154275,3190,1,4,1000,2.911465,18.919914,0.7043696,1.0930092,0.21426578101608945
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,4,1000,0.01,32,0,None,True,True,0.78425,0.07940034074433298,0.7887,0.1731413910458186,1.0,136.0,136.0,2,3498.5528436769396,1,2,0.0,0.136,136.0,5.830951894845301,4.624000000000013,0.8566570975724097,3190,1,4,2000,3.0438135,14.30891,0.71542954,1.094337,0.176208358413345
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,4,1000,0.01,32,0,None,True,True,0.7825,0.07930156461296643,0.7879,0.1784072244615686,1.0,132.25,132.25,2,3511.079890859791,1,2,0.0,0.13225,132.25,5.75,4.372515624999981,0.8293382201132619,3190,1,4,3000,3.1373672,12.06557,0.73009866,1.196731,0.2074238733166141
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,4,3000,0.01,32,0,None,True,True,0.78225,0.07924186287560264,0.7883,0.18502160402996112,1.0,130.0,130.0,2,3518.6360993998796,1,2,0.0,0.13,130.0,5.70087712549569,4.225000000000026,0.8129977455048181,3190,1,4,6000,3.3018138,9.834929,0.7498434,1.3284401,0.259508530122332
