model,rep,n_train_samples,n_test_samples,save_path,hidden_layer_dims,n_epochs,learning_rate,batch_size,verbose,early_stop_thresh,bias,init_prior_model,train_01_error,train_mse,test_01_error,test_mse,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,n_parameters,depth,width
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,4,6000,0.01,32,0,0,True,True,0.68725,0.0698504547066542,0.6952,0.1288916501873133,249.75,176.90763833141858,3,3083.300504329736,2,3,6209.137246963969,0.1769076383314185,249.75,7.901740314639554,3190,1,4
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,8,6000,0.01,32,0,0,True,True,0.4105,0.0432790600025077,0.4603,0.2658636954275755,336.37500000000006,154.94963899602996,21,1932.5330527574424,5,21,16997.510053187096,0.3025678642883279,336.375,7.490619133289317,6370,1,8
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,16,6000,0.01,32,0,0,True,True,0.2069999999999999,0.0242938734343543,0.3096,0.4451665958006534,245.25,96.379255742613,60,1303.984662486488,8,60,24973.4057247006,0.3736564264133564,245.25,4.7909419741842,12730,1,16
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,32,6000,0.01,32,0,0,True,True,0.0182499999999999,0.0065538583975426,0.2067999999999999,1.4380142739874515,172.5625,56.454679694202525,254,857.2782512113555,18,254,34575.51272573503,0.4318661540338627,172.5625,3.150210806438197,25450,1,32
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,38,6000,0.01,32,0,0,True,True,0.018,0.0057258275111481,0.2282999999999999,1.779047118838491,142.26315789473688,45.42934607458644,253,866.4756199686175,21,253,33414.67330234012,0.4158725766385661,142.26315789473682,2.582435879020441,30220,1,38
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,40,6000,0.01,32,0,0,True,True,0.017,0.0050489463729874,0.244,1.9791493577472352,135.8,42.07742862866028,274,850.26701688352,22,274,33239.97261463432,0.4059339539875914,135.8,2.4644979204698068,31810,1,40
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,42,6000,0.01,32,0,0,True,True,0.01675,0.0046757227267782,0.2556,2.1561119578255115,128.21428571428572,39.34983943989579,280,848.746134011814,24,280,32776.529485994375,0.3998597410342782,128.21428571428572,2.323960767911896,33400,1,42
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,44,6000,0.01,32,0,0,True,True,0.0162499999999999,0.0043301776461567,0.2625999999999999,2.343811810439754,121.1590909090909,36.56884569147092,279,847.365328533095,24,279,32205.13517602068,0.3902690578306202,121.15909090909088,2.1949180598045563,34990,1,44
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,46,6000,0.01,32,0,0,True,True,0.0162499999999999,0.0041381659404679,0.2703,2.4707717316541578,114.21739130434784,34.33286685803956,286,852.4541043364153,24,286,31608.214527227163,0.383790144480027,114.2173913043478,2.068989689796431,36580,1,46
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,48,6000,0.01,32,0,0,True,True,0.01575,0.0039294622807947,0.2747,2.5751467058610427,109.58333333333336,32.45470936123481,295,844.6916597196873,24,295,31439.911994566974,0.378706845726348,109.58333333333331,1.987810073646094,38170,1,48
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,50,6000,0.01,32,0,0,True,True,0.015,0.0037003060994438,0.2766999999999999,2.7697292188766425,104.32000000000002,30.71712226104522,293,854.6133628723576,25,293,31039.24681095212,0.3737653006901523,104.32,1.8933568073662184,39760,1,50
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,51,6000,0.01,32,0,0,True,True,0.0054999999999999,0.0023121545405517,0.1148,0.7207481327548805,314.9411764705882,119.32164086719035,1267,431.03828136257226,44,1267,113263.38350732284,1.0522345864872529,314.9411764705883,5.495305745492923,40555,1,51
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,52,6000,0.01,32,0,0,True,True,0.008,0.0025149911531798,0.1128,0.629272005224106,231.2692307692308,67.93532100635638,1264,480.8534080153743,46,1264,77137.95418198571,0.6207264896876885,231.2692307692308,4.355758617748999,41350,1,52
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,54,6000,0.01,32,0,0,True,True,0.006,0.0019477264462982,0.0999999999999999,0.6620407095767731,362.0,115.00283291077412,1879,321.78564293641193,50,1879,136254.62039773964,0.92072987352426,362.0,6.444444444444444,42940,1,54
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,56,6000,0.01,32,0,0,True,True,0.00475,0.0016473785831585,0.1038,0.5923885357050794,377.5357142857143,116.65712667506274,2374,288.9532834213863,55,2374,145743.27936762047,0.9846540636182842,377.5357142857143,6.820026033824271,44530,1,56
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,58,6000,0.01,32,0,0,True,True,0.00475,0.0018704314612077,0.1037,0.8948632865097259,370.9310344827586,119.8147772861247,2300,263.9848480500349,56,2300,149982.21734754054,1.0613552656862828,370.9310344827586,6.554718009246257,46120,1,58
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,60,6000,0.01,32,0,0,True,True,0.0062499999999999,0.0022732016581811,0.1129,0.4066795876732075,302.46666666666664,105.00214812617456,1952,346.4274815888601,52,1952,126146.63364665904,0.9682783690654252,302.4666666666667,5.460667439872977,47710,1,60
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,62,6000,0.01,32,0,0,True,True,0.0034999999999999,0.0018799699877073,0.1022999999999999,0.5609233862402254,384.3870967741936,129.84850293661583,2495,205.0219500443794,60,2495,169248.2683109125,1.1512548045502349,384.3870967741935,6.686724076569233,49300,1,62
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,64,6000,0.01,32,0,0,True,True,0.007,0.0019685848257153,0.0990999999999999,0.4877231738671347,351.328125,111.47432505507432,2215,312.0032051117424,61,2215,158548.43705131608,1.0325843488548527,351.328125,6.10153749194619,50890,1,64
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,128,6000,0.01,32,0,0,True,True,0.0002499999999999,0.0009817535076669,0.0748999999999999,0.4384068323122265,631.375,210.5224632183731,3967,63.90618123468183,128,3967,634357.7501188399,2.4233841007978905,631.375,10.565377289317452,101770,1,128
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,256,6000,0.01,32,0,0,True,True,0.0,0.0005119877590589,0.0632,0.4850874069382174,836.0937500000003,319.077663665822,4000,63.24555320336759,256,0,1848154.153930849,4.400559311042177,836.09375,13.600601048371102,203530,1,256
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,512,6000,0.01,32,0,0,True,True,0.0,0.0001208417825538,0.056,0.247211160502682,1270.4628906250002,613.9403669151916,4000,63.24555320336759,512,0,6509803.192450576,8.79735545846023,1270.462890625,20.22215532401248,407050,1,512
