model,rep,n_train_samples,n_test_samples,recurse_level,cov_scale,onehot,out_features,alpha,max_iter,solver,batch_size,learning_rate_init,momentum,tol,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,IRM_mean_dot_product,IRM_mean_sim_entropy
rrf,0,1024,8192,0,1.0,True,10,0,500,sgd,32,0.001,0.95,0,0.3134765625,0.20716341775528752,0.32763671875,0.21390099841321786,10.0,482.60000000000014,411.5811949056955,8,627.2894068928631,3,8,0.5751957220700885,1.971856466892403,482.6,15.151897570931505,39.81535156249945,6.9064011195042605
rrf,0,1024,8192,0,1.0,True,20,0,500,sgd,32,0.001,0.95,0,0.3212890625,0.20954620673984842,0.3284912109375,0.21513629471715295,19.0,767.8500000000001,730.2905603251353,9,519.5151585853872,2,9,0.263091875244406,3.7718524012485166,767.8499999999999,24.03284211240943,36.42078857421866,6.9298697209312605
rrf,0,1024,8192,0,1.0,True,50,0,500,sgd,32,0.001,0.95,0,0.3134765625,0.20612815380312646,0.3245849609375,0.2130015590380427,49.0,431.42000000000013,387.7016404401715,22,411.23229445168823,3,18,0.4851424706569278,4.342988640454373,431.4200000000001,13.503288488364603,7.725691015624994,6.928263984405074
rrf,0,1024,8192,0,1.0,True,100,0,500,sgd,32,0.001,0.95,0,0.2978515625,0.1993592733598138,0.3206787109375,0.20886410495985658,98.0,490.4800000000002,453.15669276752374,43,306.25806111839734,2,0,0.4097788837776248,6.637104708005539,490.47999999999996,15.347175635927282,4.510838671874956,6.9285340084046245
rrf,0,1024,8192,0,1.0,True,200,0,500,sgd,32,0.001,0.95,0,0.3046875,0.19758856944562203,0.3216552734375,0.20867678452202437,196.0,530.4500000000003,476.32900494301197,77,170.79812645342454,2,0,0.5068309067808107,9.626535367501784,530.45,16.582235977093077,2.37235668945313,6.928074666424804
rrf,0,1024,8192,0,1.0,True,300,0,500,sgd,32,0.001,0.95,0,0.3076171875,0.19872693705693534,0.3209228515625,0.20930866291478584,299.0,453.10333333333335,408.8630957097172,96,150.62536307010186,2,0,0.49733905462722483,10.924692950091181,453.10333333333335,14.175325589049288,1.3579254448784754,6.928514950203659
rrf,0,1024,8192,0,1.0,True,500,0,500,sgd,32,0.001,0.95,0,0.3037109375,0.1962486306127158,0.3226318359375,0.20733088868262195,500.0,519.918,475.8119034534549,162,126.10313239567049,2,0,0.45360590358757874,15.219420651300846,519.9180000000001,16.249093636261687,0.9487596132812521,6.929123487075713
rrf,0,1024,8192,0,1.0,True,700,0,500,sgd,32,0.001,0.95,0,0.3056640625,0.19984123776214135,0.3170166015625,0.2161467433177379,700.0,531.9314285714287,478.349795190908,219,98.20386957752734,2,0,0.5135995480100339,18.052516408906754,531.9314285714286,16.624776321956997,0.6810505899234703,6.928483228411186
rrf,0,1024,8192,0,1.0,True,900,0,500,sgd,32,0.001,0.95,0,0.294921875,0.1934694713277226,0.3245849609375,0.2067634579369645,900.0,513.987777777778,465.67475308999946,259,90.9065454189081,2,0,0.4923344369210702,20.18902877357228,513.9877777777778,16.06581867287284,0.5152829728491496,6.928273467821771
rrf,0,1024,8192,0,1.0,True,1000,0,500,sgd,32,0.001,0.95,0,0.2939453125,0.19355066251333655,0.32275390625,0.20649508886605297,1000.0,523.8120000000004,476.90431834698256,270,86.83317338436964,2,0,0.47238074708721783,21.546281193662335,523.8119999999999,16.370344590142263,0.4753840468749988,6.928889194229603
