,n_parameters,depth,width,frac_activated_pen,irm_l2_pen,regions_l2_pen,frac_activated_all,irm_l2_all,regions_l2_all,generalization_gap
n_parameters,1.0,0.09871098233904592,0.8061940573454002,0.5419175832466823,-0.5305595680441804,-0.4846832496101854,0.8839496000037169,-0.7330213575151541,-0.8787373553294533,0.6677220744978658
depth,0.09871098233904592,1.0,-0.46944444444444444,-0.7073176209785497,-0.6375219783530567,0.7432842306290095,0.07938566340670322,0.4287502397899333,0.017842420725725484,-0.0657112743410541
width,0.8061940573454002,-0.46944444444444444,1.0,0.8656108803120046,-0.09787888057591294,-0.8458067351658111,0.737300544780344,-0.8875769577915062,-0.7841848250598022,0.598728590065876
frac_activated_pen,0.5419175832466823,-0.7073176209785497,0.8656108803120046,1.0,0.24395800320568567,-0.9693365528177383,0.5427685004186389,-0.7596829242387831,-0.6150506925791148,0.553358804200824
irm_l2_pen,-0.5305595680441804,-0.6375219783530567,-0.09787888057591294,0.24395800320568567,1.0,-0.29603644785189703,-0.27018601551169047,0.1545946146590625,0.24207672526816004,-0.11002019113029898
regions_l2_pen,-0.4846832496101854,0.7432842306290095,-0.8458067351658111,-0.9693365528177383,-0.29603644785189703,1.0,-0.48001713626393994,0.7458662826393564,0.566050934375003,-0.48122594116152695
frac_activated_all,0.8839496000037169,0.07938566340670322,0.737300544780344,0.5427685004186389,-0.27018601551169047,-0.48001713626393994,1.0,-0.6505322217574045,-0.9763200046643226,0.7719552844744055
irm_l2_all,-0.7330213575151541,0.4287502397899333,-0.8875769577915062,-0.7596829242387831,0.1545946146590625,0.7458662826393564,-0.6505322217574045,1.0,0.6866755146763789,-0.5582180951101555
regions_l2_all,-0.8787373553294533,0.017842420725725484,-0.7841848250598022,-0.6150506925791148,0.24207672526816004,0.566050934375003,-0.9763200046643226,0.6866755146763789,1.0,-0.769889606206808
generalization_gap,0.6677220744978658,-0.0657112743410541,0.598728590065876,0.553358804200824,-0.11002019113029898,-0.48122594116152695,0.7719552844744055,-0.5582180951101555,-0.769889606206808,1.0
