model,rep,n_train_samples,hidden_layer_dims,n_epochs,learning_rate,batch_size,verbose,train_mse,test_mse,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,entropy,rows_mean_L1,rows_mean_L2,cols_mean_L1,cols_mean_L2,n_parameters,depth,width
network,0,500,2,100,0.01,128,0,0.2253087753489295,0.22355466040135744,310.0,219.75440837443963,3,290.5030120325777,2,3,1564.2430880061302,0.62,0.43950881674887937,155.0,8.803408430829505,12,1,2
network,0,500,10,100,0.01,128,0,0.1892805102555381,0.18647313383302272,2319.9999999999995,1442.895699626275,40,120.7393887677091,10,40,14919.77714698532,4.640000000000001,1.5760380706061639,232.0,10.787956247593888,52,1,10
network,1,500,2,100,0.01,128,0,0.2172436738569627,0.22091802757550996,305.0,245.54225705568481,4,306.3233585608515,2,4,1581.0069673550777,0.61,0.4313374549004526,152.5,10.851267207105353,12,1,2
network,1,500,10,100,0.01,128,0,0.1885773916689415,0.1883372728219178,2399.9999999999995,1603.6408575488458,32,157.58172482873766,9,32,15900.224955076163,4.8,1.5933311018115475,240.0,11.46472851837321,52,1,10
network,2,500,2,100,0.01,128,0,0.23880791300381246,0.2416982826288485,342.99999999999994,326.07821147693994,3,347.6751357229907,2,3,1933.5588174915147,0.6859999999999999,0.48788933171365817,171.5,12.737739202856996,12,1,2
network,2,500,10,100,0.01,128,0,0.1861346289558623,0.18660273975221958,2284.000000000001,1413.318081678715,27,127.63228431709588,9,27,14717.93814084528,4.5680000000000005,1.5357161196002338,228.39999999999998,10.593394168065304,52,1,10
network,3,500,2,100,0.01,128,0,0.22256404746796254,0.2216152934853396,330.0,267.22649569232465,4,296.30727294482665,2,4,1739.4255527314594,0.66,0.46682759130111406,165.0,11.335784048754634,12,1,2
network,3,500,10,100,0.01,128,0,0.19148168094752133,0.18900423257677415,2666.0,1866.5176130966458,34,126.39620247459969,9,34,18121.31249719582,5.332,1.8407672313467556,266.59999999999997,12.359611644384302,52,1,10
network,4,500,2,100,0.01,128,0,0.22024494320670363,0.22259119824694545,319.99999999999994,257.80612870915223,4,299.09195910288196,2,4,1674.4640399299483,0.64,0.4576111886744029,160.0,11.045361017187261,12,1,2
network,4,500,10,100,0.01,128,0,0.19291796796219984,0.19037426273287908,2404.0,1491.0586842911314,43,136.08085831592922,10,43,15568.446094235549,4.808,1.6250144614741127,240.4,10.936178491593854,52,1,10
network,0,500,100,1000,0.01,128,0,0.1707751167302628,0.20776434052024206,22404.000000000036,15474.816703276367,255,42.871902220452036,60,255,194965.0133503416,44.808,5.45616641974931,224.04000000000002,10.081319358099911,502,1,100
