model,rep,n_train_samples,hidden_layer_dims,n_epochs,learning_rate,batch_size,verbose,train_01_error,test_01_error,irm_l2_pen,activated_regions_pen,regions_l2_pen,irm_l2_all,activated_regions_all,regions_l2_all,n_parameters,depth,width
network,0,4096,2,1000,0.01,128,0,0.41552734375,0.4124,473.00000000000006,2,3288.984037662695,473.00000000000006,2,3288.984037662695,12,1,2
network,0,4096,2;2,1000,0.01,128,0,0.41650390625,0.41290000000000004,253.24999999999994,2,3245.159164047273,1142.5346001325302,4,2694.2000668101837,18,2,2
network,0,4096,2;2;2,1000,0.01,128,0,0.380615234375,0.38249999999999995,317.60986725506154,3,2921.0522076813354,1118.229490956326,12,2047.274773937294,24,3,2
network,0,4096,2;2;2;2;2,1000,0.01,128,0,0.5,0.5,0.0,1,4095.999999999998,636.1510355253695,10,1765.4597135024069,36,5,2
network,0,4096,2;2;2;2;2;2;2,1000,0.01,128,0,0.380859375,0.38670000000000004,70.71428571428571,2,3259.959508950993,728.391196194653,19,1891.5068067548686,48,7,2
network,0,4096,2;2;2;2;2;2;2;2;2;2;2,1000,0.01,128,0,0.5,0.5,0.0,1,4095.999999999998,1225.9718223070665,8,2160.412923494024,72,11,2
network,0,4096,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,1000,0.01,128,0,0.5,0.5,0.0,1,4095.999999999998,1973.7760523535324,8,2510.581605923217,108,17,2
network,0,4096,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,1000,0.01,128,0,0.5,0.5,0.0,1,4095.999999999998,1848.7490356454562,4,2282.0639780689758,156,25,2
network,0,4096,4,1000,0.01,128,0,0.267578125,0.27180000000000004,2223.2362813025525,9,1684.670887740392,2223.2362813025525,9,1684.670887740392,22,1,4
network,0,4096,4;4,1000,0.01,128,0,0.26513671875,0.27159999999999995,628.2489554308867,10,1588.9027660621653,1133.0984690771584,35,1270.4062342416303,42,2,4
network,0,4096,4;4;4,1000,0.01,128,0,0.263671875,0.2722,472.6306183362321,10,1888.1255254881755,1577.1978183897322,80,765.9947780500856,62,3,4
