model,rep,n_train_samples,n_estimators,max_features,splitter,bootstrap,max_depth,n_jobs,train_01_error,test_01_error,irm_l2,activated_regions,regions_l2,n_total_leaves
forest,0,4096,1,1,random,False,2,-1,0.488525390625,0.4971,3481.575218202255,4,3481.575218202255,4
forest,0,4096,1,1,random,False,3,-1,0.48779296875,0.5003,3663.4917769799695,5,3663.4917769799695,5
forest,0,4096,1,1,random,False,4,-1,0.37646484375,0.38260000000000005,2013.9488573446945,12,2013.9488573446945,12
forest,0,4096,1,1,random,False,6,-1,0.372802734375,0.3742,1503.7978587562893,53,1503.7978587562893,53
forest,0,4096,1,1,random,False,8,-1,0.32421875,0.33499999999999996,1703.8403681096408,103,1703.8403681096408,103
forest,0,4096,1,1,random,False,10,-1,0.279052734375,0.30610000000000004,643.953414464121,216,643.953414464121,216
forest,0,4096,1,1,random,False,15,-1,0.180908203125,0.3365,236.03389587091098,1242,236.03389587091098,1242
forest,0,4096,1,1,random,False,20,-1,0.0654296875,0.34030000000000005,250.21191018814446,1974,250.21191018814446,1974
forest,0,4096,1,1,random,False,None,-1,0.0,0.3529,120.2746856158851,2529,120.2746856158851,2529
forest,0,4096,2,1,random,False,2,-1,0.495849609375,0.494,3300.918962955627,8,3045.764271902876,8
forest,0,4096,2,1,random,False,3,-1,0.4130859375,0.41000000000000003,2664.739480699757,28,2113.014434404078,16
forest,0,4096,2,1,random,False,4,-1,0.314208984375,0.31200000000000006,1897.1336273441584,30,1534.2841979242314,23
forest,0,4096,2,1,random,False,6,-1,0.326416015625,0.33499999999999996,1421.0429268674468,108,1032.101739171096,66
forest,0,4096,2,1,random,False,8,-1,0.3154296875,0.32330000000000003,934.6210462000097,318,527.7082527306166,187
forest,0,4096,2,1,random,False,10,-1,0.281005859375,0.31999999999999995,829.621299147991,750,475.46188070128187,505
forest,0,4096,2,1,random,False,15,-1,0.108642578125,0.32989999999999997,238.07771840304585,2506,133.84319183283097,2218
forest,0,4096,2,1,random,False,20,-1,0.0205078125,0.3527,131.8787321746763,3270,83.80930735902784,3673
forest,0,4096,2,1,random,False,None,-1,0.0,0.34619999999999995,105.2069389346539,3518,79.06958960308319,5097
forest,0,4096,3,1,random,False,2,-1,0.487548828125,0.48529999999999995,3425.22073903434,11,2877.9388457713926,11
forest,0,4096,3,1,random,False,3,-1,0.463134765625,0.47509999999999997,2570.754839428383,19,1874.8823963118325,21
forest,0,4096,3,1,random,False,4,-1,0.39453125,0.39549999999999996,1990.3873994778014,69,1429.073825944622,42
forest,0,4096,3,1,random,False,6,-1,0.302490234375,0.30789999999999995,1524.6216288348764,198,693.9005692460557,119
forest,0,4096,3,1,random,False,8,-1,0.277587890625,0.2931,857.6848683131424,578,427.79200553540034,345
forest,0,4096,3,1,random,False,10,-1,0.246826171875,0.2803,702.4705608699126,978,286.8518781531681,603
forest,0,4096,3,1,random,False,15,-1,0.114501953125,0.3073,208.64057344842806,3038,98.05100713404222,2914
forest,0,4096,3,1,random,False,20,-1,0.030029296875,0.3244,136.46652011065248,3604,74.3505211817644,5143
forest,0,4096,3,1,random,False,None,-1,0.0,0.3248,99.46635388690771,3770,71.69379331573967,7473
forest,0,4096,4,1,random,False,2,-1,0.37255859375,0.3781,3356.1387039274773,16,2166.762100462349,14
forest,0,4096,4,1,random,False,3,-1,0.325927734375,0.3153,1875.066598817228,65,960.4196999229039,29
forest,0,4096,4,1,random,False,4,-1,0.349609375,0.34619999999999995,1666.8294378849919,132,829.0645330732702,57
forest,0,4096,4,1,random,False,6,-1,0.28466796875,0.29290000000000005,1002.2453541922741,661,317.2034047736563,171
forest,0,4096,4,1,random,False,8,-1,0.278564453125,0.2901,1211.6958157887652,653,453.2526889054273,343
forest,0,4096,4,1,random,False,10,-1,0.23193359375,0.28500000000000003,411.93628148052227,2291,117.2092146548216,1088
forest,0,4096,4,1,random,False,15,-1,0.070068359375,0.3094,170.31588299392396,3702,71.73562573784379,4801
forest,0,4096,4,1,random,False,20,-1,0.001708984375,0.32709999999999995,100.97524449091476,3953,66.55824516917495,8627
forest,0,4096,4,1,random,False,None,-1,0.0,0.3409,96.84459200182526,3919,67.55738301621814,10005
forest,0,4096,5,1,random,False,2,-1,0.3525390625,0.35309999999999997,2381.73177331118,34,1090.8070406813486,20
forest,0,4096,5,1,random,False,3,-1,0.41015625,0.41790000000000005,2621.837065875755,79,1368.6307025636972,34
forest,0,4096,5,1,random,False,4,-1,0.32861328125,0.32689999999999997,1783.0933570623774,142,704.2158759925825,67
forest,0,4096,5,1,random,False,6,-1,0.2734375,0.28890000000000005,978.5420583705129,756,318.8134250623709,215
forest,0,4096,5,1,random,False,8,-1,0.256591796875,0.2802,650.2413705694216,1285,190.7511467855436,555
forest,0,4096,5,1,random,False,10,-1,0.238525390625,0.29059999999999997,528.7512836863852,1939,159.60576430693237,1128
forest,0,4096,5,1,random,False,15,-1,0.072509765625,0.3067,176.48682670386475,3775,70.56911505750939,5399
forest,0,4096,5,1,random,False,20,-1,0.002197265625,0.32599999999999996,120.02199798370297,3934,67.30527468185535,10331
forest,0,4096,5,1,random,False,None,-1,0.0,0.32589999999999997,89.13989006051106,4012,65.45227268781429,12633
forest,0,4096,10,1,random,False,2,-1,0.43408203125,0.4403,2836.533088120075,104,1137.8883952303931,39
forest,0,4096,10,1,random,False,3,-1,0.395751953125,0.4061,2588.915919839816,190,907.4425601656556,70
