model, rep, n_train_samples, min_samples_leaf, max_depth, train_01_error, test_01_error, irm_l2, activated_regions, regions_l2
tree, 0, 4096, 1, 2, 0.45361328125, 0.4588, 2822.3220935959807, 4, 2822.3220935959807
tree, 0, 4096, 1, 4, 0.279296875, 0.2895, 1452.7821584807546, 16, 1452.7821584807546
tree, 0, 4096, 1, 8, 0.23291015625, 0.27959999999999996, 707.2679831577278, 129, 707.2679831577278
tree, 0, 4096, 1, 12, 0.155029296875, 0.3044, 546.8637855993026, 422, 546.8637855993026
tree, 0, 4096, 1, 16, 0.088134765625, 0.3235, 403.6954297487154, 727, 403.6954297487154
tree, 0, 4096, 1, None, 0.0, 0.3447, 256.7294295557095, 1119, 256.7294295557095
tree, 0, 4096, 2, 2, 0.45361328125, 0.4588, 2822.3220935959807, 4, 2822.3220935959807
tree, 0, 4096, 2, 4, 0.279296875, 0.28969999999999996, 1452.7670150440504, 16, 1452.7670150440504
tree, 0, 4096, 2, 8, 0.236572265625, 0.2794, 696.3835150260236, 124, 696.3835150260236
tree, 0, 4096, 2, 12, 0.171875, 0.30720000000000003, 535.8880480100298, 411, 535.8880480100298
tree, 0, 4096, 2, 16, 0.12939453125, 0.33540000000000003, 413.4126268028107, 656, 413.4126268028107
tree, 0, 4096, 2, None, 0.079833984375, 0.3456, 256.60085736411713, 907, 256.60085736411713
tree, 0, 4096, 4, 2, 0.45361328125, 0.4588, 2822.3220935959807, 4, 2822.3220935959807
tree, 0, 4096, 4, 4, 0.279541015625, 0.2895, 1452.754624842062, 16, 1452.754624842062
tree, 0, 4096, 4, 8, 0.240478515625, 0.2834, 687.9331362857876, 115, 687.9331362857876
tree, 0, 4096, 4, 12, 0.187744140625, 0.3076, 508.66491917567896, 364, 508.66491917567896
tree, 0, 4096, 4, 16, 0.16650390625, 0.33009999999999995, 342.92856398964494, 492, 342.92856398964494
tree, 0, 4096, 4, None, 0.1396484375, 0.3369, 260.9635989941892, 597, 260.9635989941892
tree, 0, 4096, 8, 2, 0.45361328125, 0.4588, 2822.3220935959807, 4, 2822.3220935959807
tree, 0, 4096, 8, 4, 0.279541015625, 0.2905, 1452.6362242488653, 15, 1452.6362242488653
tree, 0, 4096, 8, 8, 0.243408203125, 0.28459999999999996, 672.94279103056, 102, 672.94279103056
tree, 0, 4096, 8, 12, 0.20654296875, 0.3093, 395.10504932232897, 270, 395.10504932232897
tree, 0, 4096, 8, 16, 0.19091796875, 0.31789999999999996, 287.14108030722457, 332, 287.14108030722457
tree, 0, 4096, 8, None, 0.1875, 0.3238, 281.00889665631587, 343, 281.00889665631587
tree, 0, 4096, 16, 2, 0.45361328125, 0.4588, 2822.3220935959807, 4, 2822.3220935959807
tree, 0, 4096, 16, 4, 0.279541015625, 0.2901, 1451.894624275467, 15, 1451.894624275467
tree, 0, 4096, 16, 8, 0.2421875, 0.29900000000000004, 559.7034929317487, 100, 559.7034929317487
tree, 0, 4096, 16, 12, 0.22412109375, 0.3045, 345.5112154474873, 177, 345.5112154474873
tree, 0, 4096, 16, 16, 0.2236328125, 0.30510000000000004, 329.69683043669073, 185, 329.69683043669073
tree, 0, 4096, 16, None, 0.2236328125, 0.30510000000000004, 329.69683043669073, 185, 329.69683043669073
