Architecture,run,n_parameters,01_error-train,loss-train,regions-full-0/1-train,h*-full-0/1-train,Schatten1-full-0/1-train,regions-pen-0/1-train,h*-pen-0/1-train,Schatten1-pen-0/1-train,regions-full-true_label-train,h*-full-true_label-train,Schatten1-full-true_label-train,regions-pen-true_label-train,h*-pen-true_label-train,Schatten1-pen-true_label-train,regions-full-est_label-train,h*-full-est_label-train,Schatten1-full-est_label-train,regions-pen-est_label-train,h*-pen-est_label-train,Schatten1-pen-est_label-train,regions-full-est_proba-train,h*-full-est_proba-train,Schatten1-full-est_proba-train,regions-pen-est_proba-train,h*-pen-est_proba-train,Schatten1-pen-est_proba-train,01_error-test,loss-test,regions-full-0/1-test,h*-full-0/1-test,Schatten1-full-0/1-test,regions-pen-0/1-test,h*-pen-0/1-test,Schatten1-pen-0/1-test,regions-full-true_label-test,h*-full-true_label-test,Schatten1-full-true_label-test,regions-pen-true_label-test,h*-pen-true_label-test,Schatten1-pen-true_label-test,regions-full-est_label-test,h*-full-est_label-test,Schatten1-full-est_label-test,regions-pen-est_label-test,h*-pen-est_label-test,Schatten1-pen-est_label-test,regions-full-est_proba-test,h*-full-est_proba-test,Schatten1-full-est_proba-test,regions-pen-est_proba-test,h*-pen-est_proba-test,Schatten1-pen-est_proba-test,01_error-ood_22,loss-ood_22,regions-full-0/1-ood_22,h*-full-0/1-ood_22,Schatten1-full-0/1-ood_22,regions-pen-0/1-ood_22,h*-pen-0/1-ood_22,Schatten1-pen-0/1-ood_22,regions-full-true_label-ood_22,h*-full-true_label-ood_22,Schatten1-full-true_label-ood_22,regions-pen-true_label-ood_22,h*-pen-true_label-ood_22,Schatten1-pen-true_label-ood_22,regions-full-est_label-ood_22,h*-full-est_label-ood_22,Schatten1-full-est_label-ood_22,regions-pen-est_label-ood_22,h*-pen-est_label-ood_22,Schatten1-pen-est_label-ood_22,regions-full-est_proba-ood_22,h*-full-est_proba-ood_22,Schatten1-full-est_proba-ood_22,regions-pen-est_proba-ood_22,h*-pen-est_proba-ood_22,Schatten1-pen-est_proba-ood_22,01_error-ood_45,loss-ood_45,regions-full-0/1-ood_45,h*-full-0/1-ood_45,Schatten1-full-0/1-ood_45,regions-pen-0/1-ood_45,h*-pen-0/1-ood_45,Schatten1-pen-0/1-ood_45,regions-full-true_label-ood_45,h*-full-true_label-ood_45,Schatten1-full-true_label-ood_45,regions-pen-true_label-ood_45,h*-pen-true_label-ood_45,Schatten1-pen-true_label-ood_45,regions-full-est_label-ood_45,h*-full-est_label-ood_45,Schatten1-full-est_label-ood_45,regions-pen-est_label-ood_45,h*-pen-est_label-ood_45,Schatten1-pen-est_label-ood_45,regions-full-est_proba-ood_45,h*-full-est_proba-ood_45,Schatten1-full-est_proba-ood_45,regions-pen-est_proba-ood_45,h*-pen-est_proba-ood_45,Schatten1-pen-est_proba-ood_45
width,0,11,0.5,0.69314736,1,0.001,31.622776601683793,1,0.001,31.622776601683793,1,0.001,31.622776601683793,1,0.001,31.622776601683793,1,0.001,31.622776601683793,1,0.001,31.622776601683793,0,0.0,0.0,0,0.0,0.0,0.5,0.69314736,1,0.001,31.622776601683793,1,0.001,31.622776601683793,1,0.001,31.622776601683793,1,0.001,31.622776601683793,1,0.001,31.622776601683793,1,0.001,31.622776601683793,0,0.0,0.0,0,0.0,0.0,0.5,0.69314736,1,0.001,31.622776601683793,1,0.001,31.622776601683793,1,0.001,31.622776601683793,1,0.001,31.622776601683793,1,0.001,31.622776601683793,1,0.001,31.622776601683793,0,0.0,0.0,0,0.0,0.0,0.5,0.69314736,1,0.001,31.622776601683793,1,0.001,31.622776601683793,1,0.001,31.622776601683793,1,0.001,31.622776601683793,1,0.001,31.622776601683793,1,0.001,31.622776601683793,0,0.0,0.0,0,0.0,0.0
width,0,27,0.41300000000000003,0.66477364,6,0.006,54.3095292894015,117,0.117,153.66781565105353,6,0.006,54.3095292894015,117,0.117,153.66781565105353,6,0.006,54.3095292894015,117,0.117,153.66781565105353,6,0.006,13.509592439173403,117,0.08069555829303193,34.33063263713617,0.41100000000000003,0.66103494,4,0.004,51.7347922543568,106,0.106,142.8388218141501,4,0.004,51.7347922543568,106,0.106,142.8388218141501,4,0.004,51.7347922543568,106,0.106,142.8388218141501,4,0.004,13.290320652911102,106,0.07102625590359499,30.66081737392383,0.43500000000000005,0.67896,4,0.004,52.267201786155475,126,0.126,162.33842711844943,4,0.004,52.267201786155475,126,0.126,162.33842711844943,4,0.004,52.267201786155475,126,0.126,162.33842711844943,4,0.004,13.8703411184284,126,0.0899951505934462,39.426293254597276,0.489,0.7151128,5,0.005,52.671379299273184,123,0.123,159.53179979587242,5,0.005,52.671379299273184,123,0.123,159.53179979587242,5,0.005,52.671379299273184,123,0.123,159.53179979587242,5,0.005,13.119662947077778,123,0.07940114235842277,33.63491753636025
width,0,49,0.32999999999999996,0.60567117,17,0.017,108.96257229303912,743,0.743,758.0623784042091,17,0.017,108.96257229303912,743,0.743,758.0623784042091,17,0.017,108.96257229303912,743,0.743,758.0623784042091,17,0.017,40.08083163930111,743,0.32831671307750354,236.39699984206447,0.32199999999999995,0.5874042,16,0.016,109.35599201851605,747,0.747,761.9373774505093,16,0.016,109.35599201851605,747,0.747,761.9373774505093,16,0.016,109.35599201851605,747,0.747,761.9373774505093,16,0.016,39.04977102705855,747,0.3263381377324811,233.1199300790004,0.374,0.6623994,16,0.016,109.90530651203125,748,0.748,762.9059737205869,16,0.016,109.90530651203125,748,0.748,762.9059737205869,16,0.016,109.90530651203125,748,0.748,762.9059737205869,16,0.016,40.067640062492806,748,0.3288475713870387,235.0034861998384,0.504,0.7945237,17,0.017,110.09696685806927,756,0.756,770.6524758424985,17,0.017,110.09696685806927,756,0.756,770.6524758424985,17,0.017,110.09696685806927,756,0.756,770.6524758424985,17,0.017,40.471791680992546,756,0.33568434864456326,239.95913528243585
width,0,77,0.264,0.512581,44,0.044,165.53196216713428,872,0.872,887.3584274031118,44,0.044,165.53196216713428,872,0.872,887.3584274031118,44,0.044,165.53196216713428,872,0.872,887.3584274031118,44,0.044,92.76920447163805,872,0.5025064213552964,404.74226060807524,0.28800000000000003,0.5383318,39,0.039,160.78919445016192,842,0.842,859.3154683413891,39,0.039,160.78919445016192,842,0.842,859.3154683413891,39,0.039,160.78919445016192,842,0.842,859.3154683413891,39,0.039,85.19598405248529,842,0.48224530622258943,381.30119804826165,0.31999999999999995,0.6363835,44,0.044,162.9872078905332,864,0.864,879.8714977964119,44,0.044,162.9872078905332,864,0.864,879.8714977964119,44,0.044,162.9872078905332,864,0.864,879.8714977964119,44,0.044,86.20707855955497,864,0.47086275457865745,376.1068480991936,0.486,0.90979534,41,0.041,160.0830410780375,860,0.86,876.1914957938066,41,0.041,160.0830410780375,860,0.86,876.1914957938066,41,0.041,160.0830410780375,860,0.86,876.1914957938066,41,0.041,83.04455490213984,860,0.4541680326359606,358.09077084390105
width,0,111,0.262,0.50070125,82,0.082,226.83540403474876,1000,1.0,1000.0,82,0.082,226.83540403474876,1000,1.0,1000.0,82,0.082,226.83540403474876,1000,1.0,1000.0,82,0.07589739473153922,114.41655827151834,1000,0.5767477053328878,492.9953945875168,0.28700000000000003,0.5320847,80,0.08,228.10028891509208,1000,1.0,1000.0,80,0.08,228.10028891509208,1000,1.0,1000.0,80,0.08,228.10028891509208,1000,1.0,1000.0,80,0.07807720203170665,115.51060871704705,1000,0.5763221847653623,486.37957721948624,0.33199999999999996,0.65276897,83,0.083,227.90892552381067,1000,1.0,1000.0,83,0.083,227.90892552381067,1000,1.0,1000.0,83,0.083,227.90892552381067,1000,1.0,1000.0,83,0.08111792587923936,113.81006500821174,1000,0.5607713275853559,468.4623098373413,0.511,0.9206118,78,0.078,229.12010616038987,1000,1.0,1000.0,78,0.078,229.12010616038987,1000,1.0,1000.0,78,0.078,229.12010616038987,1000,1.0,1000.0,78,0.07419324214577662,112.07015639600843,1000,0.5523360333657422,465.4720376729965
width,0,151,0.251,0.48990735,87,0.087,234.69721776380698,1000,1.0,1000.0,87,0.087,234.69721776380698,1000,1.0,1000.0,87,0.087,234.69721776380698,1000,1.0,1000.0,87,0.087,127.64510571020588,1000,0.5891774061764288,506.3073431253433,0.28700000000000003,0.5709317,89,0.089,237.54916882583208,1000,1.0,1000.0,89,0.089,237.54916882583208,1000,1.0,1000.0,89,0.089,237.54916882583208,1000,1.0,1000.0,89,0.08838171896170495,125.47104620687367,1000,0.5842736603563514,497.7102674841881,0.348,0.6851575,91,0.091,242.41946923438445,1000,1.0,1000.0,91,0.091,242.41946923438445,1000,1.0,1000.0,91,0.091,242.41946923438445,1000,1.0,1000.0,91,0.091,127.40943496899081,1000,0.5684662302663096,481.02257549762726,0.494,0.9631357,89,0.089,238.90428971688263,1000,1.0,1000.0,89,0.089,238.90428971688263,1000,1.0,1000.0,89,0.089,238.90428971688263,1000,1.0,1000.0,89,0.089,125.56728364572677,1000,0.5570904240784715,468.3872054219246
width,0,197,0.244,0.4799482,119,0.119,289.82136719544405,1000,1.0,1000.0,119,0.119,289.82136719544405,1000,1.0,1000.0,119,0.119,289.82136719544405,1000,1.0,1000.0,119,0.119,156.89346711347304,1000,0.5915996374322648,509.699413895607,0.28800000000000003,0.5543861,119,0.119,286.1457268384102,1000,1.0,1000.0,119,0.119,286.1457268384102,1000,1.0,1000.0,119,0.119,286.1457268384102,1000,1.0,1000.0,119,0.11827178990214207,150.43016569718148,1000,0.5840656848237712,502.51245230436325,0.34299999999999997,0.6759725,123,0.123,290.8449973896534,1000,1.0,1000.0,123,0.123,290.8449973896534,1000,1.0,1000.0,123,0.123,290.8449973896534,1000,1.0,1000.0,123,0.12121708156841432,149.35767206444143,1000,0.5603210832108008,472.9274740219116,0.517,0.9795976,115,0.115,283.9588787410458,1000,1.0,1000.0,115,0.115,283.9588787410458,1000,1.0,1000.0,115,0.115,283.9588787410458,1000,1.0,1000.0,115,0.11426026280882248,143.51219348011415,1000,0.5516568855872954,464.8685212135315
width,0,249,0.241,0.476142,95,0.095,248.82214719863734,1000,1.0,1000.0,95,0.095,248.82214719863734,1000,1.0,1000.0,95,0.095,248.82214719863734,1000,1.0,1000.0,95,0.095,135.0420410774026,1000,0.6024643206016711,515.3787183761597,0.28300000000000003,0.5950335,89,0.089,243.09129651688175,1000,1.0,1000.0,89,0.089,243.09129651688175,1000,1.0,1000.0,89,0.089,243.09129651688175,1000,1.0,1000.0,89,0.089,133.0411159355138,1000,0.6059353859291701,515.4516082406044,0.348,0.69570816,93,0.093,244.2398978454374,1000,1.0,1000.0,93,0.093,244.2398978454374,1000,1.0,1000.0,93,0.093,244.2398978454374,1000,1.0,1000.0,93,0.09109158244140819,129.7558294476538,1000,0.5781399299402122,486.8334368467331,0.527,0.9961777,92,0.092,243.77318839935347,1000,1.0,1000.0,92,0.092,243.77318839935347,1000,1.0,1000.0,92,0.092,243.77318839935347,1000,1.0,1000.0,92,0.09106070162089595,129.01177061226983,1000,0.5705400874174236,477.41908144950867
width,0,307,0.235,0.46829706,145,0.145,316.6264530408204,982,0.982,985.3588989435407,145,0.145,316.6264530408204,982,0.982,985.3588989435407,145,0.145,316.6264530408204,982,0.982,985.3588989435407,145,0.14456798241003044,181.94908247325236,982,0.6100880025148769,519.2424310479048,0.28300000000000003,0.5889392,144,0.144,316.0206231090789,980,0.98,983.5825756949558,144,0.144,316.0206231090789,980,0.98,983.5825756949558,144,0.144,316.0206231090789,980,0.98,983.5825756949558,144,0.14389203844938392,184.7202464464075,980,0.6151284368303368,526.5298188914879,0.345,0.7149226,141,0.141,312.2964453224001,980,0.98,983.5825756949558,141,0.141,312.2964453224001,980,0.98,983.5825756949558,141,0.141,312.2964453224001,980,0.98,983.5825756949558,141,0.13935930543878391,178.98478313035912,980,0.5893237319044816,494.1911801089867,0.518,1.0367744,135,0.135,304.06874545437887,975,0.975,979.0990195135928,135,0.135,304.06874545437887,975,0.975,979.0990195135928,135,0.135,304.06874545437887,975,0.975,979.0990195135928,135,0.13411609633576896,171.7430383812231,975,0.580479963828429,491.631617104077
width,0,371,0.23399999999999999,0.46102548,171,0.171,347.7970563257509,1000,1.0,1000.0,171,0.171,347.7970563257509,1000,1.0,1000.0,171,0.171,347.7970563257509,1000,1.0,1000.0,171,0.16463483341768628,178.24220296366275,1000,0.6154878782544257,512.0922227501869,0.29600000000000004,0.6581144,179,0.179,353.055298810664,1000,1.0,1000.0,179,0.179,353.055298810664,1000,1.0,1000.0,179,0.179,353.055298810664,1000,1.0,1000.0,179,0.16801184723150017,177.96459699244878,1000,0.6129565982326536,508.0387935638428,0.362,0.754457,181,0.181,357.24050971905433,1000,1.0,1000.0,181,0.181,357.24050971905433,1000,1.0,1000.0,181,0.181,357.24050971905433,1000,1.0,1000.0,181,0.17047696171016155,178.1449838290355,1000,0.5942248433503506,489.55120354890823,0.534,1.1090976,184,0.184,355.89961496821553,1000,1.0,1000.0,184,0.184,355.89961496821553,1000,1.0,1000.0,184,0.184,355.89961496821553,1000,1.0,1000.0,184,0.16858955315062693,169.98669274302873,1000,0.5773107489298964,470.413371860981
